,Loss,Validation Loss
0,6.348986403281742e-07,1.6157248410308966e-06
1,4.787860916621867e-07,1.470147367399477e-06
2,4.544832563624368e-07,1.364484774057928e-06
3,4.417586580984789e-07,1.2770394732797286e-06
4,4.339270560649311e-07,1.2168759440100985e-06
5,4.298272813230142e-07,1.1952181466767797e-06
6,4.253132601661491e-07,1.21144796594308e-06
7,4.2282968593099213e-07,1.2025432170048589e-06
8,4.2009719436464366e-07,1.1793990779551677e-06
9,4.1791153648773616e-07,1.1690484598148032e-06
10,4.1601788325351663e-07,1.1647288147287327e-06
11,4.14977790796911e-07,1.172003180727188e-06
12,4.1288294028163364e-07,1.1400786661397433e-06
13,4.1174791931553045e-07,1.153279299614951e-06
14,4.110944473723066e-07,1.1620437589954236e-06
15,4.10404936701525e-07,1.1335137060086709e-06
16,4.0861584693629993e-07,1.1508009265526198e-06
17,4.080699795849796e-07,1.1501108474476496e-06
18,4.070943475653621e-07,1.1356933100614697e-06
19,4.077172945926577e-07,1.1396176660127821e-06
20,4.0759729813544254e-07,1.137462732003769e-06
21,4.055337967656669e-07,1.1414551863708766e-06
22,4.046821970860037e-07,1.1384560139049427e-06
23,4.056991258494236e-07,1.130156761064427e-06
24,4.042408647819684e-07,1.0972238442263915e-06
25,4.0392691857960017e-07,1.1310963827781961e-06
26,4.042605041831848e-07,1.1265680086580687e-06
27,4.0307287463292596e-07,1.1021079444617499e-06
28,4.025688724595966e-07,1.0724085086621926e-06
29,4.02601784799117e-07,1.1176691714354092e-06
30,4.0202465356742323e-07,1.0878846978812362e-06
31,4.0151780922315083e-07,1.0891984629779472e-06
32,4.030916045394406e-07,1.0903894462899189e-06
33,4.018882293621573e-07,1.0855063692361e-06
34,4.0124561451193586e-07,1.0873123983401456e-06
35,4.0120951894095924e-07,1.0856481367227389e-06
36,4.01172258079896e-07,1.081620212062262e-06
37,4.008702489954885e-07,1.0782240451590042e-06
38,4.0055593331089767e-07,1.0671685686247656e-06
39,4.005842129117809e-07,1.097870494959352e-06
40,3.9998445799938054e-07,1.0526756568651763e-06
41,4.0033287973528786e-07,1.0536896297708154e-06
42,3.9915519778332964e-07,1.0731437214417383e-06
43,4.0025847169999906e-07,1.0694469665395445e-06
44,3.991529240465752e-07,1.0707452702263254e-06
45,3.993692132553406e-07,1.0800814607137e-06
46,3.995693589331495e-07,1.075305817721528e-06
47,3.9965252085494285e-07,1.0639056426953175e-06
48,3.976543325734383e-07,1.0337083722333773e-06
49,4.0043354943009035e-07,1.0811065749294357e-06
50,3.986388605881075e-07,1.050267997015908e-06
51,3.9919154914969113e-07,1.0832028465301846e-06
52,3.9947977370502485e-07,1.0474801683812984e-06
53,3.988992887116183e-07,1.0579125273579848e-06
54,3.9813787111597776e-07,1.0526364349061623e-06
55,3.9880745816844865e-07,1.0552515732342727e-06
56,3.9792351458345365e-07,1.0492312867427245e-06
57,3.978744018695579e-07,1.0548370710239396e-06
58,3.977999654125597e-07,1.06245897768531e-06
59,3.9895374470688694e-07,1.055271809491387e-06
60,3.9924515249367687e-07,1.0571493476163596e-06
61,3.9785874150766176e-07,1.043922566168476e-06
62,3.9804072571314464e-07,1.0404514796391595e-06
63,3.9807449070394796e-07,1.0633951887939475e-06
64,3.9749519942233746e-07,1.0525809557293542e-06
65,3.9852656641414796e-07,1.0389852604930638e-06
66,3.9756110936650657e-07,1.0343359235776006e-06
67,3.976535936089931e-07,1.0800233667396242e-06
68,3.9828819353715517e-07,1.0328416237825877e-06
69,3.9695356690572225e-07,1.0269471886203974e-06
70,3.9743648017065425e-07,1.0462628097229754e-06
71,3.9750958080730925e-07,1.039911808220495e-06
72,3.981365921390534e-07,1.030886210173776e-06
73,3.964348707086174e-07,1.02080161923368e-06
74,3.972795923345984e-07,1.0636255183271714e-06
75,3.971930198076734e-07,1.0268825008097338e-06
76,3.9766365489413147e-07,1.0358726285630837e-06
77,3.985011858276266e-07,1.040134748109267e-06
78,3.9671320450906933e-07,1.0350971706429846e-06
79,3.969386455082713e-07,1.0262625664836378e-06
80,3.9745461322127085e-07,1.0389052249593078e-06
81,3.966047472658829e-07,9.98661221274233e-07
82,3.9770026205587783e-07,1.044704163177812e-06
83,3.971584305872966e-07,1.0238209142698906e-06
84,3.9681202679275884e-07,1.0304611350875348e-06
85,3.977966969159752e-07,1.0298796269125887e-06
86,3.9710050714347744e-07,1.0203453939539031e-06
87,3.962717869399057e-07,1.025307710733614e-06
88,3.9835725829107105e-07,1.0451143452883116e-06
89,3.982379155331728e-07,1.048520516633289e-06
90,3.97315488953609e-07,1.0264914180879714e-06
91,3.9696880094197695e-07,9.958488362826756e-07
92,3.9687580510872067e-07,1.01869841273583e-06
93,3.9659386175117106e-07,1.033490434565465e-06
94,3.9626704051443085e-07,1.014667304843897e-06
95,3.970182262946764e-07,1.0256812856823672e-06
96,3.9723767031318857e-07,1.0209364518232178e-06
97,3.969812780724169e-07,1.0188834949076409e-06
98,3.969264810166351e-07,1.0146980002900818e-06
99,3.9728166711938684e-07,1.0186421377511579e-06
