,Loss,Validation Loss
0,5.188086333873798e-07,7.488466167160368e-07
1,3.581423300147435e-07,8.107792837108718e-07
2,3.413952924802288e-07,7.198533467089874e-07
3,3.2600664212623087e-07,6.805531711506774e-07
4,3.1985729265215923e-07,6.66313894726045e-07
5,3.1522799304184446e-07,6.554523679369595e-07
6,3.1156255886344297e-07,6.462046826527512e-07
7,3.0860175570524007e-07,6.375062753249949e-07
8,3.061668394366279e-07,6.291522254286974e-07
9,3.041081981791649e-07,6.207351930243021e-07
10,3.023267538537766e-07,6.117351745160704e-07
11,3.007552606959507e-07,6.017490363774414e-07
12,2.993483860791457e-07,5.906222213525325e-07
13,2.9807128498759994e-07,5.783959977634368e-07
14,2.9689468306060007e-07,5.651663173011912e-07
15,2.9579925353573344e-07,5.508343861038156e-07
16,2.947678297005041e-07,5.348499598767376e-07
17,2.9378412591540837e-07,5.163437890587375e-07
18,2.928511548816459e-07,4.950309175910661e-07
19,2.92001288926258e-07,4.731242313482653e-07
20,2.912410081989947e-07,4.548936374249024e-07
21,2.9048752026028524e-07,4.410104281760141e-07
22,2.8980511501686124e-07,4.3114525283272087e-07
23,2.8924779371664044e-07,4.247262950229924e-07
24,2.887525738515251e-07,4.2014056589323445e-07
25,2.8829663278884254e-07,4.165612779161165e-07
26,2.8787599148927256e-07,4.136350639782904e-07
27,2.874870688174269e-07,4.11218422868842e-07
28,2.8712383937090635e-07,4.092414940259914e-07
29,2.8677990826508903e-07,4.076269704000879e-07
30,2.864531438717677e-07,4.0628717101753864e-07
31,2.8614005032068235e-07,4.0515766386306495e-07
32,2.858411676243122e-07,4.041874035465298e-07
33,2.8555385256368027e-07,4.0334245454687334e-07
34,2.8527921358545427e-07,4.025926898520993e-07
35,2.8501585802587215e-07,4.019168216018443e-07
36,2.847626490165567e-07,4.0129307876668463e-07
37,2.8451955813579843e-07,4.00706909431392e-07
38,2.8428570431060507e-07,4.001481102022808e-07
39,2.840606327936257e-07,3.996118209670385e-07
40,2.8384425831973203e-07,3.990977859302802e-07
41,2.8363507453832426e-07,3.986091599017527e-07
42,2.834340193658136e-07,3.9815003560761397e-07
43,2.8324012646407937e-07,3.97725301581886e-07
44,2.8305305477260845e-07,3.973380842126062e-07
45,2.828722074355028e-07,3.969904298628535e-07
46,2.826972433922492e-07,3.9668574913775956e-07
47,2.8252816264284775e-07,3.9642287674723775e-07
48,2.8236300408934767e-07,3.962019547998352e-07
49,2.822031035520922e-07,3.960217895837559e-07
50,2.820477220666362e-07,3.9588434219695046e-07
51,2.818971154283645e-07,3.957857472869364e-07
52,2.8175085731163563e-07,3.9572543641952507e-07
53,2.816078961132007e-07,3.9570187482240726e-07
54,2.814692834363086e-07,3.957096623707912e-07
55,2.8133320029155584e-07,3.9574840116074483e-07
56,2.8120186357227794e-07,3.9581189525961236e-07
57,2.8107248795095074e-07,3.9589843936482794e-07
58,2.809461534525326e-07,3.9600419654561847e-07
59,2.8082317271582724e-07,3.961247330153128e-07
60,2.8070220992049144e-07,3.962562402648473e-07
61,2.805840892960987e-07,3.963945971463545e-07
62,2.8046852662555466e-07,3.965344319567521e-07
63,2.8035523769176507e-07,3.966734425375762e-07
64,2.802440235427639e-07,3.968063708725822e-07
65,2.8013516839564545e-07,3.96932023249974e-07
66,2.800281038162211e-07,3.970472732817143e-07
67,2.7992342666038894e-07,3.971512114731013e-07
68,2.7981985795122455e-07,3.9724380940242554e-07
69,2.79718591400524e-07,3.9732634604661143e-07
70,2.796197406951251e-07,3.9739785506753833e-07
71,2.795224531837448e-07,3.9746078073221724e-07
72,2.7942687097493035e-07,3.975153504143236e-07
73,2.7933234036936483e-07,3.9756434944138164e-07
74,2.792398845485877e-07,3.9760931258570054e-07
75,2.791493898257613e-07,3.9765205883668386e-07
76,2.790605435620819e-07,3.9769400927980314e-07
77,2.789738289266097e-07,3.97736329205145e-07
78,2.788888195937034e-07,3.977801554810867e-07
79,2.7880483344233653e-07,3.9782668181942427e-07
80,2.787232062928524e-07,3.9787610717212374e-07
81,2.786428865420021e-07,3.9792820416550967e-07
82,2.785647268410685e-07,3.979834559686424e-07
83,2.7848841455124784e-07,3.980419762683596e-07
84,2.784133243949327e-07,3.9810299767850665e-07
85,2.7833999638460227e-07,3.98166150716861e-07
86,2.782681178814528e-07,3.98232515408381e-07
87,2.7819805836770684e-07,3.982994485340896e-07
88,2.7812924940917583e-07,3.9836857013142435e-07
89,2.780620889097918e-07,3.9843803278927226e-07
90,2.779958379051095e-07,3.9850880284575396e-07
91,2.7793117851615534e-07,3.985805392403563e-07
92,2.7786754230874067e-07,3.986523324783775e-07
93,2.7780546929534466e-07,3.9872512047622877e-07
94,2.7774478894571075e-07,3.987975958352763e-07
95,2.7768507493419747e-07,3.988699575074861e-07
96,2.776262135739671e-07,3.9894274550533737e-07
97,2.775690006728837e-07,3.9901459558677743e-07
98,2.7751278253163036e-07,3.9908704252411553e-07
99,2.7745676334234304e-07,3.9915886418384616e-07
