,Loss,Validation Loss
0,5.305241757014301e-07,7.176018357313296e-07
1,3.6258811064726615e-07,6.89037051415653e-07
2,3.345078312122496e-07,6.87898477735871e-07
3,3.233526797430386e-07,6.540743697769358e-07
4,3.1542711553811387e-07,6.255780817809864e-07
5,3.103394874415244e-07,5.979254069643503e-07
6,3.0660041261398874e-07,5.68641723930341e-07
7,3.0362730285560247e-07,5.376092531150789e-07
8,3.0113577054180496e-07,5.050609956924745e-07
9,2.9902901133027626e-07,4.7230162181222113e-07
10,2.9730438200203935e-07,4.4525819475893513e-07
11,2.9585009997390443e-07,4.2747154793687514e-07
12,2.9450950478349114e-07,4.1404416606383165e-07
13,2.934023655143392e-07,4.0582352767160046e-07
14,2.9246632493595826e-07,4.012462397895433e-07
15,2.9164519332880445e-07,3.982775922395376e-07
16,2.9091867759234447e-07,3.958805336878868e-07
17,2.902674225424562e-07,3.938747283882549e-07
18,2.896778426020319e-07,3.922106941445236e-07
19,2.8913760274917877e-07,3.9074535607142025e-07
20,2.88638659640128e-07,3.8932483903408865e-07
21,2.8817419206461636e-07,3.8782278011240123e-07
22,2.8773968097084435e-07,3.8614547293036594e-07
23,2.8733265367009153e-07,3.842426394840004e-07
24,2.869514048597921e-07,3.821482152943645e-07
25,2.865948545149877e-07,3.799924854774872e-07
26,2.8626402581721777e-07,3.7795840057697205e-07
27,2.8595766821126745e-07,3.7619085446749523e-07
28,2.856727689959371e-07,3.7473913039320905e-07
29,2.8540634389173647e-07,3.73577307755113e-07
30,2.851552665106283e-07,3.726484862909274e-07
31,2.849190536835522e-07,3.718986079093156e-07
32,2.846944369139237e-07,3.71288734868358e-07
33,2.844828657089238e-07,3.707886264692206e-07
34,2.842819242232508e-07,3.703783306718833e-07
35,2.8409172614374256e-07,3.7004241448812536e-07
36,2.8391102091518405e-07,3.697691113302426e-07
37,2.837401780197979e-07,3.69549240986089e-07
38,2.835770374076674e-07,3.693751864375372e-07
39,2.8342276436887914e-07,3.692404959565465e-07
40,2.832759662396711e-07,3.691405368044798e-07
41,2.8313539246482833e-07,3.690716425808205e-07
42,2.830010430443508e-07,3.6903040268043696e-07
43,2.828722358572122e-07,3.690142875711899e-07
44,2.827479761435825e-07,3.690209098294872e-07
45,2.826287186508125e-07,3.6904822309224983e-07
46,2.8251338335394394e-07,3.6909329992340645e-07
47,2.8240131655365985e-07,3.691560834795382e-07
48,2.8229248982825084e-07,3.692324241910683e-07
49,2.8218818215464125e-07,3.6932308944415126e-07
50,2.820852955665032e-07,3.6942526548955357e-07
51,2.819857343183685e-07,3.6953883864043746e-07
52,2.818883615418599e-07,3.696609383041505e-07
53,2.8179385935800383e-07,3.697913655287266e-07
54,2.8170131827209843e-07,3.6992975083194324e-07
55,2.8160991405457025e-07,3.7007353625995165e-07
56,2.81521408851404e-07,3.7022189758317836e-07
57,2.8143483632447897e-07,3.703740958371782e-07
58,2.813490311837086e-07,3.705281699240004e-07
59,2.8126544293627376e-07,3.7068386404826015e-07
60,2.81182849448669e-07,3.708400129198708e-07
61,2.811022739024338e-07,3.7099479754942877e-07
62,2.8102229521209665e-07,3.7114816109351523e-07
63,2.809436239203933e-07,3.712992224791378e-07
64,2.8086682846151234e-07,3.7144602060834586e-07
65,2.807905161716917e-07,3.7158781651669415e-07
66,2.8071531232853886e-07,3.717240701917035e-07
67,2.8064116008863493e-07,3.7185515111559653e-07
68,2.805679173434328e-07,3.719808603364072e-07
69,2.8049589673173614e-07,3.720990093825094e-07
70,2.804246435061941e-07,3.722117298821104e-07
71,2.803538734497124e-07,3.72318680774697e-07
72,2.8028406973135134e-07,3.724204873378767e-07
73,2.802156302550429e-07,3.7251803064464184e-07
74,2.8014724762215337e-07,3.7261264651533565e-07
75,2.8008057029182964e-07,3.727036528289318e-07
76,2.8001440455227566e-07,3.7279332332218473e-07
77,2.7995028517580067e-07,3.728802084879135e-07
78,2.7988645001642e-07,3.7296666732800077e-07
79,2.7982386541225424e-07,3.7305144928723166e-07
80,2.7976216188108083e-07,3.731358049208211e-07
81,2.7970170890512236e-07,3.7321925105970877e-07
82,2.796429612317297e-07,3.7330215718611726e-07
83,2.7958549253526144e-07,3.733852906862012e-07
84,2.795285354295629e-07,3.734660936061118e-07
85,2.7947257308369444e-07,3.73546669152347e-07
86,2.7941806024500693e-07,3.7362519833550323e-07
87,2.793638884668326e-07,3.7370347172327456e-07
88,2.793116493648995e-07,3.737801819170272e-07
89,2.7925980816689844e-07,3.738550446996669e-07
90,2.7920847855966713e-07,3.739291685178614e-07
91,2.7915953637602797e-07,3.7400053543024114e-07
92,2.7911025313187565e-07,3.740713339084323e-07
93,2.790620499126817e-07,3.7413965969790297e-07
94,2.790146709230612e-07,3.742065075584833e-07
95,2.789682866932708e-07,3.7427051324812055e-07
96,2.7892281195818214e-07,3.743332968042523e-07
97,2.7887796250070096e-07,3.7439372135850135e-07
98,2.7883385200766497e-07,3.7445195744112425e-07
99,2.787906794310402e-07,3.7450737977451354e-07
