,0
0,655.57086
1,651.89087
2,654.287
3,652.0534
4,653.7951
5,653.2398
6,656.1219
7,653.2691
8,651.75885
9,652.94336
10,653.8568
11,653.11896
12,656.00916
13,656.51
14,652.22266
15,655.059
16,653.34625
17,654.02167
18,652.7117
19,654.443
20,655.1988
21,652.979
22,651.51227
23,653.5794
24,653.70874
25,655.296
26,651.8674
27,652.1081
28,653.4344
29,652.60657
30,652.2236
31,651.21027
32,654.4939
33,656.5321
34,650.96094
35,654.315
36,654.80804
37,653.0095
38,651.74963
39,650.89343
40,655.18677
41,656.9918
42,650.4368
43,655.0337
44,654.5967
45,653.16986
46,652.01886
47,653.49554
48,656.13336
49,650.99805
50,651.74744
51,655.4799
52,653.0583
53,655.5886
54,652.1538
55,653.3123
56,650.68604
57,655.8353
58,652.24567
59,653.9901
60,654.5894
61,654.90186
62,653.41534
63,653.4321
64,652.48145
65,650.6922
66,653.70483
67,657.83606
68,654.0765
69,654.2793
70,655.196
71,654.6381
72,651.7459
73,651.22
74,657.2834
75,652.34515
76,651.09674
77,655.04504
78,654.70056
79,649.93427
80,656.13904
81,653.52185
82,651.8135
83,655.0894
84,651.5294
85,654.29486
86,654.0157
87,650.10657
88,654.364
89,652.8528
90,651.60724
91,655.9866
92,651.7431
93,651.0602
94,653.88934
95,657.28955
96,651.8543
97,650.8799
98,657.4366
99,651.46783
100,653.8076
101,653.77844
102,654.72174
103,651.6796
104,652.582
105,655.7888
106,653.3057
107,654.1961
108,652.1929
109,655.54224
110,653.0738
111,650.87036
112,655.4499
113,654.58154
114,652.93805
115,652.01135
116,652.9417
117,654.5285
118,653.56824
119,650.4851
120,654.32733
121,655.5691
122,649.46436
123,654.6617
124,656.1835
125,653.68225
126,651.87115
127,654.2835
128,654.4663
129,650.97015
130,653.08026
131,655.38605
132,651.71313
133,652.279
134,654.55963
135,651.9523
136,651.1698
137,655.3364
138,655.89777
139,655.8617
140,649.82263
141,654.186
142,653.30853
143,651.0548
144,652.7127
145,653.93976
146,656.32245
147,654.39685
148,653.6994
149,652.647
150,653.7738
151,650.71875
152,654.9213
153,652.38293
154,654.5593
155,653.4252
156,650.68085
157,654.007
158,654.45844
159,650.65625
160,654.0302
161,651.58734
162,652.61127
163,652.4744
164,653.5701
165,651.67206
166,654.49695
167,654.1982
168,653.7512
169,651.8473
170,655.21277
171,654.1301
172,652.8557
173,654.9579
174,654.3092
175,656.0824
176,654.0098
177,651.3585
178,657.0919
179,652.28143
180,654.5448
181,657.08325
182,652.42426
183,653.4171
184,657.1052
185,656.05383
186,652.68787
187,658.1396
188,652.54926
189,651.8063
190,657.17053
191,653.4947
192,652.632
193,656.06177
194,656.00195
195,649.83105
196,653.5272
197,658.35535
198,651.8262
199,652.50726
200,656.5719
201,656.02045
202,653.15045
203,651.4071
204,655.743
205,654.2334
206,649.9561
207,653.55725
208,653.9252
209,655.1696
210,652.83234
211,652.68823
212,654.1207
213,652.3831
214,652.95374
215,651.376
216,652.8466
217,653.96405
218,654.54407
219,651.5786
220,653.2052
221,652.915
222,652.28644
223,652.2218
224,650.5626
225,653.2013
226,652.24084
227,650.68695
228,655.14215
229,652.1253
230,650.338
231,653.2515
232,655.7097
233,649.8709
234,651.5766
235,654.7219
236,651.87933
237,648.305
238,652.934
239,655.0109
240,650.61694
241,652.74084
242,652.84845
243,653.0003
244,652.2271
245,650.95447
246,655.3238
247,654.5085
248,652.1982
249,651.3493
250,654.47925
251,651.20966
252,650.7972
253,652.3437
254,650.8516
255,652.49097
256,650.1949
257,654.58997
258,652.80554
259,648.8059
260,652.9078
261,652.2952
262,653.0386
263,652.33124
264,652.3768
265,655.23804
266,652.23206
267,651.237
268,650.23096
269,654.4163
270,651.1386
271,653.16705
272,652.0799
273,655.6972
274,650.8816
275,650.6709
276,652.6048
277,651.4302
278,649.57355
279,654.0284
280,650.702
281,652.65894
282,653.06635
283,655.00037
284,652.3407
285,652.1814
286,652.7377
287,652.4331
288,652.8275
289,653.945
290,653.8428
291,654.33905
292,646.956
293,652.77966
294,653.60583
295,650.46954
296,655.0879
297,655.2943
298,651.2497
299,652.3498
300,654.7963
301,651.1227
302,650.8076
303,654.318
304,654.99567
305,651.27313
306,650.7273
307,658.66095
308,648.9152
309,654.0135
310,652.14026
311,652.25574
312,654.0111
313,652.3028
314,652.4326
315,652.1051
316,652.2046
317,650.0647
318,653.88043
319,649.5225
320,653.42096
321,655.3431
322,655.6968
323,650.64
324,651.69495
325,651.4026
326,653.1825
327,652.9053
328,649.84015
329,656.7847
330,654.75885
331,654.2181
332,650.89496
333,653.1751
334,650.8911
335,655.9518
336,654.7652
337,651.8158
338,653.5744
339,653.4669
340,650.38043
341,652.77057
342,652.27136
343,655.05347
344,653.2095
345,652.2178
346,653.08923
347,650.5066
348,652.29364
349,655.05566
350,650.5724
351,650.4268
352,653.7335
353,655.0841
354,649.6319
355,654.48444
356,655.2948
357,652.43646
358,648.8495
359,650.50854
360,655.25476
361,653.8955
362,652.673
363,650.6795
364,654.0444
365,655.6128
366,649.6119
367,651.2763
368,653.60706
369,653.4315
370,651.17017
371,653.45123
372,654.9671
373,651.04645
374,650.24884
375,649.7228
376,656.38934
377,650.8036
378,652.97595
379,656.26794
380,653.71716
381,649.7533
382,652.8136
383,654.26196
384,653.5009
385,650.27466
386,655.50134
387,653.34064
388,652.6445
389,654.94037
390,653.35834
391,653.7351
392,653.23083
393,652.73804
394,651.44714
395,655.39484
396,655.7806
397,650.11676
398,655.5541
399,652.12213
400,652.6712
401,653.0539
402,652.03076
403,653.69806
404,655.1788
405,654.18225
406,652.3962
407,652.198
408,654.5286
409,652.01843
410,652.4607
411,655.59735
412,652.28284
413,656.5936
414,652.7639
415,651.4729
416,650.5197
417,655.8945
418,655.77795
419,651.6728
420,654.9721
421,653.3634
422,652.94836
423,651.28955
424,651.17566
425,656.84235
426,652.0493
427,650.3373
428,654.85504
429,656.1988
430,651.9368
431,652.6501
432,653.407
433,651.7907
434,650.2493
435,653.9664
436,654.31366
437,656.4515
438,653.3519
439,649.01697
440,654.18475
441,655.60645
442,650.869
443,650.48047
444,655.6978
445,655.6731
446,651.45636
447,651.24994
448,654.00916
449,653.1504
450,653.74316
451,649.5917
452,653.99255
453,655.8971
454,651.72217
455,653.97125
456,654.5839
457,652.30554
458,652.52423
459,651.6325
460,656.6348
461,653.26056
462,652.6129
463,652.02423
464,653.4005
465,651.151
466,652.5251
467,651.4076
468,657.6758
469,651.02075
470,655.2414
471,653.4825
472,650.7874
473,651.40656
474,651.9059
475,653.6197
476,653.7501
477,652.83466
478,651.9688
479,654.2023
480,652.5044
481,650.4479
482,652.5964
483,651.73096
484,653.402
485,653.6032
486,652.92926
487,652.5281
488,651.4658
489,652.5951
490,649.7783
491,651.7556
492,653.72095
493,656.29156
494,653.18164
495,650.9835
496,651.3574
497,654.5816
498,649.35156
499,652.01904
500,652.52515
501,653.59076
502,651.28455
503,652.2517
504,652.8538
505,656.4613
506,646.55896
507,650.42255
508,652.2875
509,652.79944
510,653.5909
511,653.24176
512,651.84753
513,651.97516
514,651.43445
515,652.64087
516,652.6822
517,653.46063
518,652.2227
519,654.05524
520,652.16
521,650.4509
522,654.4349
523,651.24304
524,652.4317
525,653.45715
526,650.8657
527,654.6783
528,654.2761
529,651.4548
530,651.80206
531,651.53986
532,651.988
533,651.7411
534,650.4776
535,653.5133
536,654.36505
537,648.5945
538,651.3161
539,650.61694
540,654.52594
541,650.9176
542,653.5885
543,654.2971
544,653.69745
545,646.1274
546,650.4638
547,654.1619
548,653.14136
549,652.57666
550,652.3308
551,653.8623
552,650.5142
553,648.54193
554,653.66626
555,648.9186
556,653.00305
557,652.8902
558,654.04224
559,651.92694
560,651.6182
561,649.6296
562,649.14984
563,649.23956
564,649.54315
565,652.1472
566,654.85864
567,653.01355
568,651.85345
569,653.59186
570,646.48334
571,648.2762
572,648.02344
573,652.4975
574,655.0443
575,649.3294
576,652.09564
577,651.39496
578,648.5244
579,648.6536
580,650.1208
581,652.8966
582,652.3073
583,649.75964
584,649.2768
585,626.57336
586,665.85614
587,715.3669
588,811.21533
589,619.0228
590,742.5186
591,648.4198
592,887.4065
593,655.48535
594,650.65735
595,646.8038
596,648.9361
597,651.1661
598,650.692
599,650.8737
600,651.1649
601,656.06976
602,647.82666
603,648.2546
604,647.9176
605,652.1059
606,651.5873
607,649.98413
608,653.3906
609,652.11865
610,648.7191
611,648.8137
612,652.0696
613,653.7212
614,651.73315
615,651.90546
616,648.99023
617,653.32806
618,650.1018
619,648.7499
620,650.23126
621,652.3111
622,651.3978
623,648.0508
624,654.0548
625,650.5606
626,650.14813
627,650.30524
628,648.985
629,650.22516
630,649.9439
631,653.78064
632,652.189
633,650.97296
634,652.17975
635,649.6901
636,651.5824
637,651.5646
638,649.3848
639,653.0044
640,650.96405
641,651.9275
642,651.2594
643,651.93665
644,651.3493
645,649.1866
646,650.03687
647,653.91364
648,649.4862
649,650.9452
650,650.82056
651,651.8278
652,648.04877
653,651.7435
654,650.1678
655,652.51245
656,650.31903
657,654.2763
658,649.15857
659,648.4648
660,651.07825
661,651.2966
662,649.73816
663,655.1289
664,651.4261
665,654.74896
666,649.80005
667,649.8529
668,651.2058
669,651.13385
670,651.7395
671,649.8792
672,651.53784
673,652.7497
674,651.3474
675,650.17737
676,651.2427
677,651.05426
678,652.235
679,650.8017
680,647.59424
681,652.7969
682,652.29535
683,650.043
684,650.3078
685,652.1366
686,650.45984
687,649.77124
688,652.1047
689,652.8336
690,651.404
691,649.79205
692,652.19824
693,646.9822
694,650.28436
695,649.414
696,651.8091
697,651.9646
698,650.27496
699,650.06464
700,652.4752
701,648.2948
702,650.6324
703,650.7899
704,650.9516
705,648.94464
706,651.6364
707,652.1499
708,651.13025
709,647.9379
710,648.46674
711,653.9476
712,651.95337
713,648.55176
714,654.573
715,651.48083
716,647.8691
717,649.9646
718,648.3294
719,653.47723
720,652.82965
721,650.64197
722,651.58295
723,650.5557
724,651.5638
725,651.28375
726,649.9113
727,653.5182
728,648.4674
729,653.98676
730,648.99304
731,654.06976
732,651.38696
733,649.6881
734,651.0285
735,650.25415
736,650.92395
737,653.7682
738,648.30585
739,653.83844
740,650.71954
741,648.29663
742,648.01843
743,652.1933
744,652.5355
745,648.7265
746,650.6979
747,652.7004
748,650.59985
749,647.2606
750,650.07904
751,651.7603
752,651.8365
753,650.2557
754,650.4653
755,651.1999
756,651.65326
757,646.989
758,650.8922
759,652.1019
760,650.66296
761,650.31335
762,652.87286
763,647.8555
764,651.77826
765,648.7133
766,651.77203
767,647.80615
768,653.3464
769,648.7717
770,652.7086
771,649.71375
772,653.324
773,646.6385
774,649.94403
775,652.7573
776,647.3773
777,651.8427
778,652.5538
779,647.3204
780,647.2387
781,649.0752
782,649.9929
783,651.0132
784,649.72754
785,654.00916
786,648.3076
787,646.37036
788,649.70746
789,650.23083
790,651.3382
791,649.1319
792,652.24
793,653.6863
794,651.33344
795,648.92664
796,651.8206
797,650.5784
798,647.3562
799,651.4346
800,653.3372
801,651.6252
802,651.73474
803,653.3606
804,650.7717
805,653.94037
806,650.97797
807,654.006
808,651.71576
809,650.50146
810,652.684
811,651.2336
812,650.7354
813,652.39825
814,654.18933
815,649.84875
816,652.34595
817,653.3121
818,651.4982
819,650.44916
820,654.72516
821,652.69104
822,650.2398
823,652.71643
824,652.9967
825,652.47424
826,650.7682
827,652.3064
828,653.24963
829,653.90204
830,651.1623
831,653.09955
832,650.9436
833,649.61914
834,654.2895
835,652.38464
836,650.571
837,652.3986
838,652.25275
839,653.59656
840,651.97784
841,651.2724
842,655.82965
843,652.71014
844,652.6583
845,651.10144
846,655.2056
847,652.1687
848,651.06903
849,654.2612
850,653.1809
851,652.0023
852,652.77124
853,652.31146
854,655.58563
855,649.48553
856,652.75287
857,653.9359
858,653.9263
859,649.2376
860,652.6276
861,655.7481
862,652.26416
863,652.517
864,653.2686
865,656.88275
866,650.4175
867,651.51587
868,653.6489
869,653.77295
870,654.281
871,655.19366
872,654.227
873,652.79736
874,653.4554
875,653.32587
876,654.33813
877,651.11676
878,654.74194
879,653.20233
880,654.62726
881,656.10254
882,654.7816
883,652.841
884,654.707
885,653.01245
886,651.6573
887,655.2907
888,653.3358
889,656.1556
890,652.53613
891,653.517
892,654.4941
893,654.9479
894,653.46906
895,654.67303
896,655.0501
897,651.72864
898,655.4855
899,653.1058
900,652.7971
901,653.3588
902,653.7321
903,654.8093
904,655.0102
905,650.92
906,657.2437
907,650.38763
908,653.22424
909,651.4951
910,654.7846
911,651.9408
912,653.74744
913,652.194
914,653.1725
915,653.24243
916,650.656
917,654.65643
918,652.5119
919,651.23346
920,656.382
921,650.3542
922,653.2685
923,652.05365
924,652.1315
925,655.1608
926,651.83984
927,651.9529
928,651.44354
929,654.106
930,653.6143
931,654.3113
932,650.64966
933,657.0533
934,652.35156
935,650.84204
936,655.0104
937,653.319
938,652.1421
939,655.28485
940,653.6164
941,648.49506
942,654.48663
943,655.31464
944,649.78845
945,650.28394
946,655.2984
947,654.4294
948,650.33765
949,653.7727
950,655.0777
951,653.39
952,650.55927
953,654.19763
954,655.1247
955,650.6006
956,650.79126
957,653.96155
958,650.94165
959,652.734
960,654.4159
961,654.19855
962,651.3211
963,653.64966
964,648.8354
965,653.5497
966,653.5728
967,651.0235
968,650.9253
969,654.1942
970,651.9707
971,651.09625
972,654.54584
973,655.0921
974,652.71625
975,646.9235
976,654.09766
977,655.1626
978,649.4522
979,653.86694
980,657.3096
981,650.4995
982,649.0193
983,653.7385
984,653.0842
985,652.1391
986,653.34735
987,652.13245
988,653.22363
989,653.82153
990,652.68494
991,653.3124
992,653.073
993,652.3851
994,650.6924
995,651.6461
996,654.7901
997,650.1081
998,649.7393
999,651.9264
1000,649.66534
1001,652.72705
1002,653.1677
1003,654.8637
1004,650.2011
1005,651.1797
1006,653.59766
1007,649.9731
1008,650.9498
1009,651.17584
1010,652.0909
1011,651.19666
1012,651.4724
1013,652.9868
1014,652.5881
1015,652.22455
1016,649.0457
1017,651.03424
1018,651.7801
1019,650.78265
1020,655.74524
1021,652.6168
1022,648.5675
1023,652.1004
1024,652.6601
1025,651.68896
1026,649.5316
1027,651.6642
1028,651.6574
1029,648.5279
1030,649.16724
1031,652.77747
1032,649.8485
1033,651.6419
1034,648.7246
1035,655.12006
1036,646.5729
1037,650.597
1038,654.20483
1039,650.9616
1040,646.626
1041,651.8189
1042,649.2488
1043,651.0641
1044,650.63873
1045,652.6871
1046,653.652
1047,649.5106
1048,650.56903
1049,656.0119
1050,650.5581
1051,646.53125
1052,651.7637
1053,651.1147
1054,649.9474
1055,650.3817
1056,650.7666
1057,651.11993
1058,652.35925
1059,652.3764
1060,650.9964
1061,653.9146
1062,654.1386
1063,651.20557
1064,649.8175
1065,650.1674
1066,652.64026
1067,649.28644
1068,653.5632
1069,654.4046
1070,648.83514
1071,653.65894
1072,650.94617
1073,647.65137
