,Loss,Validation Loss
0,75094.359375,89662.34375
1,75061.0234375,89632.2265625
2,75030.6953125,89605.0703125
3,75001.1171875,89582.546875
4,74979.65625,89572.59375
5,74973.375,89566.59375
6,74970.09375,89561.2578125
7,74965.4140625,89588.96875
8,74965.734375,89580.7890625
9,74961.234375,89588.8671875
10,74958.8046875,89553.4921875
11,74947.5234375,89547.6875
12,74935.3828125,89561.15625
13,74921.15625,89563.3359375
14,74908.53125,89537.3046875
15,74896.7109375,89521.8203125
16,74884.6640625,89520.265625
17,74872.71875,89541.75
18,74860.578125,89534.3125
19,74848.5703125,89545.515625
20,74836.15625,89511.046875
21,74823.7265625,89533.390625
22,74811.59375,89523.5703125
23,74799.1875,89528.5625
24,74786.7421875,89589.859375
25,74774.3359375,89558.21875
26,74761.9453125,89583.28125
27,74749.5,89564.3125
28,74736.953125,89608.59375
29,74724.25,89553.0
30,74711.625,89586.421875
31,74698.90625,89554.875
32,74686.1875,89580.796875
33,74673.3515625,89529.265625
34,74660.6328125,89550.046875
35,74647.890625,89522.3984375
36,74635.1484375,89474.6953125
37,74622.3203125,89476.109375
38,74609.484375,89527.25
39,74596.421875,89488.234375
40,74583.421875,89489.1953125
41,74570.4609375,89421.375
42,74557.1875,89354.9609375
43,74544.1875,89404.28125
44,74531.2265625,89379.9296875
45,74518.171875,89366.96875
46,74505.1875,89418.375
47,74492.0703125,89338.203125
48,74478.84375,89263.5625
49,74465.6328125,89357.09375
50,74452.453125,89266.7265625
51,74439.1953125,89286.4453125
52,74425.9765625,89195.5703125
53,74412.7578125,89194.5546875
54,74399.3828125,89132.65625
55,74386.4765625,89143.0625
56,74373.265625,89086.5234375
57,74359.96875,89155.6640625
58,74346.0859375,89122.1640625
59,74332.90625,89028.5390625
60,74319.296875,89086.40625
61,74305.828125,89035.234375
62,74292.46875,89088.3515625
63,74279.0859375,89019.65625
64,74265.6640625,89018.578125
65,74251.96875,89071.75
66,74238.3671875,89063.6953125
67,74224.78125,88972.3671875
68,74211.2890625,89007.6875
69,74197.6484375,88950.578125
70,74184.171875,88926.0703125
71,74170.5390625,89015.1171875
72,74156.9375,88998.8828125
73,74143.546875,88902.2265625
74,74130.734375,88985.96875
75,74117.3046875,88898.6640625
76,74102.7890625,88878.9765625
77,74089.2890625,88923.625
78,74075.171875,88854.46875
79,74061.578125,88928.8046875
80,74047.953125,88858.265625
81,74034.03125,88869.6796875
82,74020.2421875,88852.3359375
83,74006.5625,88904.6015625
84,73992.84375,88842.9375
85,73978.4140625,88856.390625
86,73958.4609375,88874.8671875
87,73939.1484375,88869.8984375
88,73924.2265625,88873.515625
89,73909.6015625,88830.71875
90,73895.2421875,88832.5546875
91,73880.9921875,88743.9921875
92,73866.609375,88892.078125
93,73852.4375,88746.75
94,73838.2734375,88735.375
95,73824.25,88637.859375
96,73810.3671875,88792.5390625
97,73796.2890625,88683.3515625
98,73782.21875,88615.03125
99,73768.265625,88788.1875
100,73754.265625,88775.078125
101,73740.609375,88631.203125
102,73726.671875,88701.7578125
103,73712.65625,88570.953125
104,73698.8125,88702.15625
105,73684.8203125,88717.40625
106,73670.90625,88543.0546875
107,73656.9453125,88661.796875
108,73642.84375,88573.53125
109,73629.0390625,88559.0390625
110,73614.921875,88539.9921875
111,73600.6328125,88437.0078125
112,73587.09375,88529.3125
113,73572.875,88416.0078125
114,73558.9296875,88407.0078125
115,73545.0703125,88376.8125
116,73531.140625,88632.7578125
117,73517.0859375,88579.4453125
118,73503.140625,88536.953125
119,73489.46875,88591.5234375
120,73475.015625,88348.6796875
121,73461.3046875,88401.453125
122,73447.4296875,88444.65625
123,73433.21875,88341.4921875
124,73419.3515625,88344.7890625
125,73405.2890625,88460.953125
126,73391.2890625,88443.09375
127,73377.53125,88370.1953125
128,73363.3515625,88285.5078125
129,73348.96875,88283.546875
130,73335.140625,88465.2109375
131,73320.8828125,88446.859375
132,73306.6875,88355.75
133,73292.703125,88398.4296875
134,73278.5625,88407.40625
135,73264.40625,88323.375
136,73250.3984375,88222.265625
137,73236.2578125,88268.9609375
138,73222.0703125,88207.25
139,73207.8671875,88245.109375
140,73193.9765625,88248.9921875
141,73179.9140625,88260.75
142,73165.4296875,88227.203125
143,73151.4921875,88295.21875
144,73137.3515625,88205.453125
145,73123.7734375,88141.6015625
146,73109.7734375,88252.3515625
147,73095.09375,88111.578125
148,73081.0625,88135.5
149,73067.0625,88429.75
150,73052.765625,88280.03125
151,73038.828125,88100.6640625
152,73024.9375,88112.0859375
153,73010.6328125,88116.34375
154,72996.65625,88223.4609375
155,72982.5234375,88102.8046875
156,72968.6171875,88039.7421875
157,72954.578125,88011.8046875
158,72940.6171875,87831.953125
159,72926.6640625,87797.9140625
160,72912.8125,87921.4140625
161,72898.5,87784.921875
162,72884.25,87808.4765625
163,72870.6484375,87706.015625
164,72856.3515625,87606.65625
165,72841.9609375,87676.2734375
166,72827.9765625,87741.0390625
167,72814.0,87751.6640625
168,72800.1015625,87777.8125
169,72786.15625,87813.6953125
170,72772.1171875,87841.21875
171,72758.1015625,87705.3203125
172,72743.84375,87956.6796875
173,72729.9140625,87733.125
174,72715.8046875,87949.34375
175,72701.828125,88043.4453125
176,72687.6015625,87895.5390625
177,72673.390625,87780.0859375
178,72659.5390625,87930.9375
179,72645.609375,87703.2734375
180,72631.4609375,87497.8125
181,72617.296875,87701.140625
182,72603.6875,87477.1953125
183,72589.4375,87424.078125
184,72575.296875,87459.09375
185,72561.3046875,87586.25
186,72547.359375,87567.6328125
187,72533.53125,87526.921875
188,72519.40625,87486.3828125
189,72505.359375,87588.1875
190,72491.3046875,87441.828125
191,72477.234375,87523.84375
192,72463.2265625,87471.3984375
193,72449.2578125,87513.296875
194,72435.2265625,87584.984375
195,72421.21875,87524.4921875
196,72407.1796875,87471.359375
197,72393.4453125,87619.5859375
198,72379.3828125,87427.21875
199,72365.359375,87629.2734375
