,0
0,0.9521617
1,0.93498886
2,0.94334733
3,0.9436369
4,0.9387437
5,0.9581649
6,0.96576524
7,0.9624437
8,0.96777624
9,0.96537447
10,0.94360834
11,0.95718753
12,0.95596343
13,0.965303
14,0.9495609
15,0.9525041
16,0.9511218
17,0.9471157
18,0.94537127
19,0.94384855
20,0.93866223
21,0.9445287
22,0.9116069
23,0.9165959
24,0.93397087
25,0.9467038
26,0.95627695
27,0.9405145
28,0.9523545
29,0.9623555
30,0.9411619
31,0.94002694
32,0.9392425
33,0.95379394
34,0.9625755
35,0.9536814
36,0.96707207
37,0.96762246
38,0.9377543
39,0.94816095
40,0.9578576
41,0.9620114
42,0.9366071
43,0.9304682
44,0.96022725
45,0.9466658
46,0.9450904
47,0.94180524
48,0.93349785
49,0.9220717
50,0.93157756
51,0.94666964
52,0.9331624
53,0.9600553
54,0.9624205
55,0.9589658
56,0.95032096
57,0.94889057
58,0.9450364
59,0.9398497
60,0.9525728
61,0.9477338
62,0.95838565
63,0.9597584
64,0.9514896
65,0.93527746
66,0.9357816
67,0.95472026
68,0.9518722
69,0.923244
70,0.95158505
71,0.94507015
72,0.9079909
73,0.95042163
74,0.96376884
75,0.9300706
76,0.9585785
77,0.9484706
78,0.9423392
79,0.9548521
80,0.92019576
81,0.92036724
82,0.91727626
83,0.915203
84,0.9260456
85,0.89992726
86,0.8749813
87,0.9310903
88,0.9452506
89,0.9381838
90,0.92558885
91,0.9599165
92,0.94380045
93,0.92504394
94,0.9555088
95,0.94879115
96,0.9419658
97,0.9366828
98,0.95998585
99,0.9490791
100,0.95421445
101,0.9633371
102,0.95238936
103,0.94883597
104,0.9130628
105,0.9473329
106,0.9357781
107,0.908338
108,0.9171463
109,0.91784257
110,0.9135338
111,0.9044126
112,0.9095405
113,0.9315771
114,0.9418774
115,0.9179385
116,0.94396615
117,0.9519225
118,0.9091423
119,0.90193963
120,0.8992586
121,0.91439646
122,0.8579658
123,0.891747
124,0.9200325
125,0.8808798
126,0.90908974
127,0.93304163
128,0.899239
129,0.88882047
130,0.9445152
131,0.9529668
132,0.9444608
133,0.9302226
134,0.9425263
135,0.9401482
136,0.88258445
137,0.9326859
138,0.95118207
139,0.95597553
140,0.96083486
141,0.95858735
142,0.95870167
143,0.93327206
144,0.9176606
145,0.91859853
146,0.9342806
147,0.9297171
148,0.9459206
149,0.9214344
150,0.93821484
151,0.93838656
152,0.9092343
153,0.9152716
154,0.8997289
155,0.86114967
156,0.8746278
157,0.87834173
158,0.8896411
159,0.9112138
160,0.93273914
161,0.9227748
162,0.92470133
163,0.95722634
164,0.96164757
165,0.9353597
166,0.95474964
167,0.9612404
168,0.95910823
169,0.9558825
170,0.9323186
171,0.9525074
172,0.94726723
173,0.9355205
174,0.9603602
175,0.9582726
176,0.9583207
177,0.9686264
178,0.9727248
179,0.9719117
180,0.97613627
181,0.97119933
182,0.94061357
183,0.9617416
184,0.9494621
185,0.9353526
186,0.9547885
187,0.95793515
188,0.9382464
189,0.93653464
190,0.9618881
191,0.9323254
192,0.9345985
193,0.9622161
194,0.9480919
195,0.9276011
196,0.94048846
197,0.94981223
198,0.9337526
199,0.9034431
200,0.9410254
201,0.9456423
202,0.93039423
203,0.9414695
204,0.93325186
205,0.9450942
206,0.92004025
207,0.9092066
208,0.9113287
209,0.8900034
210,0.9199467
211,0.9162626
212,0.9086038
213,0.90748924
214,0.93277514
215,0.9085004
216,0.9148425
217,0.9021076
218,0.9083747
219,0.9175747
220,0.8864561
221,0.91484433
222,0.89663875
223,0.8222457
224,0.86114395
225,0.85487145
226,0.7908708
227,0.79550713
228,0.8555343
229,0.80567485
230,0.7632945
231,0.8700231
232,0.904831
233,0.85863197
234,0.90158916
235,0.940272
236,0.90089643
237,0.8907844
238,0.894276
239,0.91639113
240,0.90339816
241,0.86766255
242,0.8606081
243,0.8494602
244,0.78340673
245,0.6682831
246,0.7786304
247,0.7554336
248,0.77174747
249,0.8590411
250,0.88950324
251,0.91148126
252,0.8541018
253,0.91736186
254,0.91888946
255,0.8789227
256,0.8938511
257,0.88392204
258,0.8920739
259,0.8223239
260,0.7619622
261,0.7560509
262,0.75393414
263,0.7467376
264,0.7382232
265,0.85180026
266,0.85267127
267,0.87662727
268,0.82897496
269,0.8766489
270,0.8499359
271,0.85575783
272,0.90545964
273,0.9052803
274,0.8828012
275,0.9137139
276,0.9052651
277,0.8588136
278,0.8460592
279,0.8698647
280,0.7794856
281,0.76573247
282,0.86407727
283,0.86428905
284,0.87372994
285,0.8157358
286,0.8578774
287,0.9138201
288,0.8813183
289,0.9411955
290,0.9670816
291,0.94543326
292,0.9319657
293,0.920006
294,0.86551327
295,0.78339386
296,0.84338176
297,0.83312416
298,0.77700853
299,0.78300023
300,0.8970938
301,0.8366716
302,0.7955073
303,0.9173241
304,0.88377196
305,0.929342
306,0.9249749
307,0.9213116
308,0.91720974
309,0.9115228
310,0.89935875
311,0.8426093
312,0.84338635
313,0.82516885
314,0.90184826
315,0.85129654
316,0.7989178
317,0.7800682
318,0.8097075
319,0.7275993
320,0.765208
321,0.82483506
322,0.9074838
323,0.944278
324,0.9217503
325,0.9380388
326,0.9282116
327,0.93688494
328,0.9399634
329,0.96185035
330,0.94357365
331,0.96256804
332,0.95883846
333,0.9277179
334,0.93149555
335,0.94191384
336,0.9502435
337,0.9473436
338,0.9339483
339,0.93927634
340,0.9044007
341,0.86977136
342,0.9043499
343,0.88021696
344,0.8862219
345,0.9230979
346,0.91263694
347,0.87087023
348,0.9281891
349,0.9513111
350,0.885431
351,0.84870154
352,0.88797283
353,0.91358274
354,0.90025324
355,0.9084169
356,0.9429164
357,0.93325245
358,0.93871456
359,0.88397825
360,0.898051
361,0.9143615
362,0.8692208
363,0.8468797
364,0.89404213
365,0.9128941
366,0.8499272
367,0.84947497
368,0.8709125
369,0.8805285
370,0.8904027
371,0.8950616
372,0.9482107
373,0.914376
374,0.8737659
375,0.87011886
376,0.8990791
377,0.8782158
378,0.8905726
379,0.93281895
380,0.94000554
381,0.9103387
382,0.9464248
383,0.95067114
384,0.9453698
385,0.9426914
386,0.93981
387,0.9450386
388,0.9523232
389,0.962381
390,0.932033
391,0.9552476
392,0.9570473
393,0.9287045
394,0.9383511
395,0.93300945
396,0.94172156
397,0.946244
398,0.9440854
399,0.93638235
400,0.9218783
401,0.9396233
402,0.90956426
403,0.90196526
404,0.94042975
405,0.9449593
406,0.94918823
407,0.95115924
408,0.93134993
409,0.9446606
410,0.9479784
411,0.9585734
412,0.9368308
413,0.96261954
414,0.9584309
415,0.9023428
416,0.8974226
417,0.88222677
418,0.92908895
419,0.91194975
420,0.8981799
421,0.93052953
422,0.9257991
423,0.91412145
424,0.9233713
425,0.9363691
426,0.877671
427,0.8387394
428,0.9268811
429,0.94130564
430,0.93688154
431,0.9409831
432,0.9215729
433,0.92804056
434,0.9325447
435,0.86858356
436,0.89782345
437,0.9324092
438,0.9287279
439,0.8616087
440,0.8724855
441,0.9096972
442,0.8785091
443,0.89545465
444,0.9080295
445,0.9287391
446,0.95084935
447,0.9298784
448,0.95909745
449,0.9664295
450,0.9441178
451,0.9360553
452,0.93730587
453,0.9554859
454,0.94105315
455,0.9213547
456,0.9395022
457,0.91420496
458,0.906816
459,0.9030091
460,0.9188581
461,0.9408426
462,0.93193907
463,0.9260668
464,0.9466201
465,0.86633927
466,0.88550586
467,0.8918194
468,0.90355736
469,0.92583126
470,0.92855567
471,0.94570297
472,0.93309677
473,0.92514986
474,0.88606423
475,0.91166824
476,0.8913014
477,0.8989489
478,0.9006666
479,0.895493
480,0.8945916
481,0.87314725
482,0.87712646
483,0.8385887
484,0.8567869
485,0.92620873
486,0.9372126
487,0.9509945
488,0.9370518
