,0
0,0.83112717
1,0.795357
2,0.8168893
3,0.8026291
4,0.8124063
5,0.8063289
6,0.79332256
7,0.7658706
8,0.7244173
9,0.6860969
10,0.6473509
11,0.5920898
12,0.66076326
13,0.62258077
14,0.6464462
15,0.6066085
16,0.5633695
17,0.5641568
18,0.5975864
19,0.6221433
20,0.5492028
21,0.586561
22,0.52304894
23,0.48575953
24,0.5707674
25,0.5390387
26,0.54034126
27,0.5000728
28,0.5027838
29,0.48724216
30,0.5488292
31,0.50801706
32,0.50154793
33,0.5413848
34,0.5596501
35,0.5401637
36,0.5395212
37,0.5157159
38,0.53750634
39,0.6153789
40,0.5716107
41,0.54759383
42,0.57343125
43,0.63495386
44,0.5995119
45,0.57621336
46,0.6406996
47,0.6315258
48,0.6187801
49,0.5980309
50,0.59019554
51,0.5603691
52,0.6388867
53,0.5899031
54,0.6672566
55,0.64164627
56,0.6058017
57,0.58970296
58,0.53771484
59,0.49832392
60,0.4458118
61,0.5334916
62,0.6020106
63,0.58525753
64,0.58926857
65,0.53460073
66,0.52443814
67,0.5659127
68,0.571493
69,0.5352057
70,0.4975597
71,0.54675996
72,0.552658
73,0.5856215
74,0.56841946
75,0.51807356
76,0.5619985
77,0.5538682
78,0.4997911
79,0.4906251
80,0.5001551
81,0.4890873
82,0.47929898
83,0.51023597
84,0.51756
85,0.5438727
86,0.5278895
87,0.5762615
88,0.63918614
89,0.6629417
90,0.65214515
91,0.6613264
92,0.6684794
93,0.6408356
94,0.65328026
95,0.6508579
96,0.63741076
97,0.60684764
98,0.5980803
99,0.5980103
100,0.5963228
101,0.61023974
102,0.55828357
103,0.59718406
104,0.54771006
105,0.5012976
106,0.49388668
107,0.48247805
108,0.49500024
109,0.51863956
110,0.48421332
111,0.4431016
112,0.46166888
113,0.5069835
114,0.5279587
115,0.5037558
116,0.47791398
117,0.43966866
118,0.4403821
119,0.5271548
120,0.5134827
121,0.4905179
122,0.4730011
123,0.4906682
124,0.5493312
125,0.5636829
126,0.4989111
127,0.45483643
128,0.45339888
129,0.5217925
130,0.59412026
131,0.588287
132,0.5823511
133,0.52443135
134,0.47047722
135,0.49107996
136,0.5227822
137,0.5368469
138,0.57146037
139,0.5940248
140,0.61548257
141,0.5730792
142,0.5560976
143,0.503392
144,0.5755451
145,0.5694072
146,0.557587
147,0.51226264
148,0.5180299
149,0.5385004
150,0.5756539
151,0.59155124
152,0.60149455
153,0.63293976
154,0.6215786
155,0.60271627
156,0.65532166
157,0.6395844
158,0.62216866
159,0.66461027
160,0.63330615
161,0.61088204
162,0.64039445
163,0.6219531
164,0.5963909
165,0.56822276
166,0.63165104
167,0.59577286
168,0.63337207
169,0.67626035
170,0.6383038
171,0.6462953
172,0.6470963
173,0.6255498
174,0.60685825
175,0.60837805
176,0.6091855
177,0.7058213
178,0.75807166
179,0.8403863
180,0.8827764
181,0.9401313
182,0.91227627
183,0.92025673
184,0.88198626
185,0.872404
186,0.8995036
187,0.9095242
188,0.85915685
189,0.8214307
190,0.7884909
191,0.78443074
192,0.76116586
193,0.7626921
194,0.74518704
195,0.695537
196,0.68800807
197,0.65868485
198,0.61989516
199,0.61739564
200,0.62517095
201,0.61604166
202,0.5923621
203,0.5623499
204,0.5376688
205,0.49111488
206,0.52749395
207,0.5145128
208,0.48724315
209,0.44006315
210,0.43711698
211,0.4269365
212,0.4306419
213,0.43419713
214,0.46729425
215,0.46799138
216,0.52388895
217,0.50312185
218,0.5254358
219,0.53634655
220,0.5497503
221,0.5544791
222,0.5652646
223,0.57290983
224,0.52807164
225,0.50295347
226,0.54407716
227,0.56760126
228,0.544382
229,0.5186868
230,0.56468093
231,0.54757893
232,0.5157897
233,0.52785003
