,0
0,0.6213833
1,0.578387
2,0.65496916
3,0.6096786
4,0.60065794
5,0.6369654
6,0.66530454
7,0.6336702
8,0.66043234
9,0.63906443
10,0.6137332
11,0.6635065
12,0.63944626
13,0.66678447
14,0.5709552
15,0.637977
16,0.6678418
17,0.60293704
18,0.5846677
19,0.611354
20,0.6233486
21,0.62517154
22,0.546334
23,0.60477114
24,0.61580324
25,0.5941937
26,0.6199012
27,0.5832164
28,0.6409596
29,0.6605495
30,0.5488538
31,0.6196116
32,0.63811576
33,0.6193113
34,0.6226869
35,0.6069696
36,0.66627026
37,0.6675006
38,0.5702454
39,0.66153383
40,0.65777147
41,0.6438363
42,0.55263007
43,0.64005005
44,0.6931821
45,0.5828295
46,0.5868869
47,0.62387013
48,0.6255888
49,0.624626
50,0.5793679
51,0.6081167
52,0.595847
53,0.68293357
54,0.5990257
55,0.6209351
56,0.6074977
57,0.63765925
58,0.6133002
59,0.61398613
60,0.6300056
61,0.59891593
62,0.6473359
63,0.6427317
64,0.55676746
65,0.5426088
66,0.58561206
67,0.6076336
68,0.5327455
69,0.51356953
70,0.674641
71,0.5797178
72,0.553157
73,0.63982403
74,0.61235106
75,0.52731127
76,0.65959924
77,0.58991826
78,0.5826862
79,0.6083422
80,0.52831864
81,0.62193817
82,0.5884708
83,0.52425945
84,0.5819655
85,0.55309415
86,0.5558367
87,0.6032261
88,0.5882964
89,0.55730474
90,0.57169473
91,0.6704456
92,0.5597846
93,0.5673784
94,0.6461394
95,0.5752071
96,0.60576475
97,0.61149776
98,0.64098334
99,0.57260555
100,0.6270791
101,0.6463074
102,0.6108005
103,0.60703564
104,0.5588034
105,0.66960275
106,0.5883497
107,0.54025114
108,0.6073953
109,0.607562
110,0.5744825
111,0.5567388
112,0.5760153
113,0.6008096
114,0.59473175
115,0.5461334
116,0.61494994
117,0.61320007
118,0.5190175
119,0.5826826
120,0.59178936
121,0.54562086
122,0.4476015
123,0.55884254
124,0.57406455
125,0.4825012
126,0.5284546
127,0.58659184
128,0.52411455
129,0.56609
130,0.6072731
131,0.5766438
132,0.56657195
133,0.578315
134,0.61746967
135,0.59368914
136,0.50634325
137,0.6218014
138,0.60532045
139,0.59426475
140,0.61035836
141,0.6151333
142,0.6202978
143,0.5805113
144,0.5867481
145,0.61217
146,0.60219085
147,0.5550078
148,0.62676746
149,0.55516875
150,0.61756444
151,0.582196
152,0.5355953
153,0.60500705
154,0.577516
155,0.52484524
156,0.5744066
157,0.55617297
158,0.57189405
159,0.55643165
160,0.59294176
161,0.57457805
162,0.60521615
163,0.62208223
164,0.59587395
165,0.56810904
166,0.65518236
167,0.6093567
168,0.61003757
169,0.60522234
170,0.55879927
171,0.6550808
172,0.60839605
173,0.56775475
174,0.6574501
175,0.5911742
176,0.6412534
177,0.6772026
178,0.6343978
179,0.60924196
180,0.68789506
181,0.6485673
182,0.57684124
183,0.6825196
184,0.606171
185,0.5988308
186,0.6539286
187,0.62745285
188,0.58576006
189,0.64489174
190,0.6605102
191,0.5370102
192,0.6523766
193,0.6887698
194,0.56472427
195,0.5959369
196,0.66129684
197,0.64047354
198,0.57110834
199,0.5619868
200,0.6731974
201,0.6197337
202,0.57234347
203,0.6075237
204,0.62352955
205,0.63138187
206,0.5463891
207,0.570893
208,0.59211123
209,0.55654013
210,0.5503062
211,0.5348944
212,0.5547801
213,0.56579137
214,0.55987966
215,0.50690037
216,0.5737705
217,0.5462982
218,0.55057186
219,0.54665625
220,0.51243377
221,0.56919134
222,0.52005124
223,0.4765273
224,0.554732
225,0.5066072
226,0.46911722
227,0.5122894
228,0.5461391
229,0.46025598
230,0.49640065
231,0.5552906
232,0.54608136
233,0.47010517
234,0.5784081
235,0.59359
236,0.49215955
237,0.5385728
238,0.557246
239,0.55709195
240,0.510902
241,0.4843467
242,0.530696
243,0.53065836
244,0.46447152
245,0.4500113
246,0.53255105
247,0.46944723
248,0.50308895
249,0.5192325
250,0.52090454
251,0.5585552
252,0.48696828
253,0.5854418
254,0.54119855
255,0.4919148
256,0.55281496
257,0.5356581
258,0.52217555
259,0.4817052
260,0.4684447
261,0.52169156
262,0.4858733
263,0.4534079
264,0.48939013
265,0.54869854
266,0.48789483
267,0.5231933
268,0.48401916
269,0.5686463
270,0.4888013
271,0.50842106
272,0.5588081
273,0.5281788
274,0.48899665
275,0.56671304
276,0.5167161
277,0.50295347
278,0.47860995
279,0.53419185
280,0.45161825
281,0.4881991
282,0.50905
283,0.49259472
284,0.51175135
285,0.48326984
286,0.5410876
287,0.565223
288,0.4713009
289,0.6021371
290,0.5919057
291,0.5290962
292,0.5704907
293,0.5638211
294,0.49094427
295,0.49922717
296,0.53443193
297,0.48396593
298,0.46886003
299,0.50488776
300,0.54994154
301,0.43147847
302,0.4835142
303,0.61482906
304,0.4657331
305,0.55688864
306,0.5306475
307,0.5655457
308,0.56407934
309,0.5427082
310,0.5022121
311,0.5150708
312,0.5408572
313,0.49988165
314,0.5417484
315,0.4480822
316,0.48351985
317,0.5006443
318,0.5128761
319,0.42857045
320,0.48843363
321,0.51960325
322,0.60249215
323,0.5667627
324,0.50181097
325,0.609108
326,0.5835075
327,0.5682877
328,0.5405419
329,0.60558546
330,0.54927325
331,0.6273594
332,0.56058276
333,0.54374295
334,0.5920556
335,0.57677174
336,0.57101345
337,0.5600064
338,0.5354967
339,0.6050142
340,0.5071507
341,0.5253713
342,0.55610573
343,0.5028758
344,0.5422576
345,0.55146027
346,0.50937444
347,0.5268171
348,0.5842453
349,0.5701238
350,0.44298095
351,0.5443656
352,0.5963733
353,0.5589601
354,0.48154902
355,0.538292
356,0.61835474
357,0.57468975
358,0.52696216
359,0.4675107
360,0.6086477
361,0.5715376
362,0.47076046
363,0.50743234
364,0.5753337
365,0.5508251
366,0.4696545
367,0.5239388
368,0.55309975
369,0.5283832
370,0.5120129
371,0.52727103
372,0.63559675
373,0.48780358
374,0.53287566
375,0.59101814
376,0.5490881
377,0.49179667
378,0.54395247
379,0.60105896
380,0.56731653
381,0.5044123
382,0.60888815
383,0.57297736
384,0.5416078
385,0.5528042
386,0.5817176
387,0.57084167
388,0.56464994
389,0.58357406
390,0.5267507
391,0.6215165
392,0.59828794
393,0.50577325
394,0.5923233
395,0.5675357
396,0.59229887
397,0.556213
398,0.5550227
399,0.5562972
400,0.57544273
401,0.5754513
402,0.5087399
403,0.54870784
404,0.6131972
405,0.5514467
406,0.55915403
407,0.5952807
408,0.5432798
409,0.59167457
410,0.573995
411,0.5774026
412,0.52202344
413,0.6376896
414,0.56176805
415,0.50958717
416,0.5759225
417,0.551945
418,0.5681135
419,0.51412743
420,0.53331196
421,0.61133385
422,0.54655504
423,0.5237871
424,0.5587512
425,0.57985556
426,0.4732418
427,0.5378425
428,0.61400294
429,0.5725212
430,0.50821054
431,0.58311725
432,0.5670676
433,0.5872178
434,0.5183855
435,0.46506447
436,0.6235457
437,0.60509825
438,0.5142206
439,0.4589545
440,0.61434203
441,0.5865952
442,0.47795495
443,0.52329034
444,0.5765799
445,0.57526207
446,0.5907258
447,0.5232378
448,0.61831766
449,0.6128632
450,0.52951694
