,0
0,0.6171538
1,0.63909584
2,0.6413719
3,0.6426268
4,0.6450572
5,0.63786024
6,0.6548951
7,0.6454008
8,0.62872714
9,0.61432743
10,0.59532315
11,0.6039212
12,0.6086536
13,0.624708
14,0.62312955
15,0.61953163
16,0.6105606
17,0.6103821
18,0.5996505
19,0.6038207
20,0.589362
21,0.59275466
22,0.5806731
23,0.57860744
24,0.5857249
25,0.5886501
26,0.59318215
27,0.5943838
28,0.58621746
29,0.5906378
30,0.5945459
31,0.5896307
32,0.59592795
33,0.59300065
34,0.5928358
35,0.6205483
36,0.62536365
37,0.6176766
38,0.63591653
39,0.643348
40,0.6347542
41,0.63160104
42,0.63297534
43,0.6375442
44,0.6313157
45,0.63954794
46,0.64009035
47,0.65374047
48,0.6539801
49,0.6374714
50,0.6464796
51,0.6397964
52,0.6357206
53,0.64402694
54,0.65948945
55,0.65458846
56,0.65729725
57,0.6519278
58,0.6402787
59,0.64255846
60,0.6530231
61,0.6581336
62,0.64226764
63,0.63812596
64,0.6141866
65,0.5953141
66,0.60980487
67,0.6215331
68,0.6267294
69,0.6414046
70,0.6344459
71,0.6416005
72,0.63697916
73,0.64415634
74,0.646804
75,0.6393067
76,0.6455296
77,0.6494763
78,0.6591822
79,0.63208055
80,0.63306904
81,0.62548405
82,0.63139915
83,0.64815664
84,0.6631646
85,0.6547047
86,0.6524534
87,0.64966446
88,0.6471522
89,0.64654577
90,0.6645754
91,0.6769286
92,0.6638306
93,0.6746819
94,0.681191
95,0.6743215
96,0.6888863
97,0.6913594
98,0.68104064
99,0.667836
100,0.6657844
101,0.66709733
102,0.6712506
103,0.6847587
104,0.6933729
105,0.6839923
106,0.6736499
107,0.680313
108,0.6842949
109,0.69662005
110,0.69558376
111,0.69000673
112,0.6894679
113,0.69385296
114,0.69526076
115,0.6795821
116,0.6685305
117,0.66929877
118,0.67431885
119,0.6777185
120,0.6875372
121,0.6769806
122,0.67920583
123,0.6766845
124,0.70020974
125,0.70306885
126,0.710956
127,0.7050085
128,0.7061549
129,0.6968862
130,0.7123324
131,0.7137182
132,0.7092676
133,0.70098436
134,0.69194484
135,0.6901387
136,0.6945249
137,0.6931826
138,0.7096313
139,0.70597214
140,0.7072214
141,0.68652
142,0.6995448
143,0.69411564
144,0.69413257
145,0.687318
146,0.6916715
147,0.6737238
148,0.67648184
149,0.6795684
150,0.6904334
151,0.6845811
152,0.69012624
153,0.68494225
154,0.6788299
155,0.68309003
156,0.6980145
157,0.6955156
158,0.7078482
159,0.6992088
160,0.7004088
161,0.7046804
162,0.71045715
163,0.704483
164,0.69402075
165,0.68729806
166,0.69396055
167,0.70000595
168,0.7073346
169,0.707865
170,0.70429397
171,0.7091273
172,0.7157707
173,0.7217345
174,0.7188329
175,0.7255626
176,0.73150045
177,0.74882317
178,0.7631959
179,0.7851306
180,0.79402316
181,0.8104758
182,0.820315
183,0.81700814
184,0.77857524
185,0.77171665
186,0.76850635
187,0.76786935
188,0.76310116
189,0.76632845
190,0.76273876
191,0.77232826
192,0.77218974
193,0.7761338
194,0.7756038
195,0.7148081
196,0.6730848
197,0.68023074
198,0.6474988
199,0.6465756
200,0.6412468
201,0.64738065
202,0.6469989
203,0.65762585
204,0.6603609
205,0.6555673
206,0.6657898
207,0.6514784
208,0.6493178
209,0.65638363
210,0.64877224
211,0.65471685
212,0.646688
213,0.6481992
214,0.6403419
215,0.6463909
216,0.659826
217,0.6184964
218,0.63178104
219,0.620087
220,0.6195436
221,0.6537091
222,0.6677693
223,0.65443176
224,0.6584618
225,0.661142
226,0.63643
227,0.63777167
228,0.6361501
229,0.61683726
230,0.6210264
231,0.6169513
232,0.6282079
233,0.6374847
234,0.6463729
235,0.64533585
236,0.6490734
237,0.62975854
238,0.63671744
239,0.64193124
240,0.6330384
241,0.63297445
242,0.6391093
243,0.6195186
244,0.63156354
245,0.6485794
246,0.65111846
247,0.64461637
248,0.64904755
249,0.6543
250,0.6600503
251,0.66496897
252,0.6664349
253,0.6688409
254,0.6703941
255,0.6658889
256,0.6635897
257,0.6702145
258,0.67185
259,0.6692234
260,0.6584709
261,0.6504964
262,0.65743625
263,0.6601425
264,0.66876245
265,0.67422646
266,0.65981203
267,0.6458843
268,0.6406761
269,0.6473567
270,0.65803605
271,0.65045744
272,0.6547475
273,0.69917184
274,0.68932533
275,0.71088254
276,0.6942141
277,0.693583
278,0.690289
279,0.68891454
280,0.69899905
281,0.69976616
282,0.6918221
283,0.6851839
284,0.67607075
285,0.67540026
286,0.6882057
287,0.6869627
288,0.69260156
289,0.6936478
290,0.6925942
291,0.68854785
292,0.6848485
293,0.6850221
294,0.6854877
295,0.6849386
296,0.68711144
297,0.68445814
298,0.6845304
299,0.68653727
300,0.69153255
301,0.6899948
302,0.6833073
303,0.6849587
304,0.68722284
305,0.68632865
306,0.6845911
307,0.67775184
308,0.6805093
309,0.6757357
310,0.67746
311,0.6849551
312,0.6851295
313,0.6854956
314,0.6832858
315,0.67264545
316,0.6866014
317,0.6835184
318,0.6779088
319,0.690762
320,0.68532133
321,0.6896783
322,0.69468397
323,0.70147526
324,0.70346993
325,0.7053691
326,0.67106295
327,0.6368186
328,0.64218146
329,0.6311242
330,0.6327389
331,0.63016486
332,0.61533076
333,0.6175165
334,0.627866
335,0.630552
336,0.6154459
337,0.61054134
338,0.5977274
339,0.59793437
340,0.59992
341,0.6008044
342,0.5990215
343,0.61537355
344,0.60494375
345,0.6003242
346,0.5969759
347,0.6151309
348,0.6076194
349,0.6135627
350,0.59632283
351,0.6000049
352,0.6020423
353,0.61679775
354,0.6198167
355,0.62437236
356,0.62617874
357,0.63903505
358,0.6475606
359,0.65508604
360,0.6573411
361,0.65879846
362,0.65061945
363,0.6373078
364,0.6464237
365,0.6522911
366,0.6575793
367,0.6627359
368,0.64996254
369,0.65098137
370,0.66250014
371,0.65871024
372,0.66834366
373,0.66308355
374,0.67632586
375,0.6753054
376,0.6804869
377,0.68122196
378,0.67367715
379,0.67225605
380,0.66120887
381,0.6522914
382,0.66736436
383,0.6509159
384,0.65787405
385,0.6624314
386,0.6708222
387,0.6659235
388,0.66625303
389,0.6597895
390,0.6675498
391,0.65799344
392,0.6511833
393,0.64931357
394,0.6539487
395,0.6583337
396,0.6603257
397,0.661084
398,0.6622233
399,0.66138816
400,0.67549694
401,0.66883373
402,0.6757269
403,0.6752739
404,0.68572354
405,0.6797996
406,0.6981659
407,0.6956162
408,0.6933826
409,0.68117905
410,0.6740271
411,0.6724
412,0.6691672
413,0.66323256
414,0.6800598
415,0.6875965
416,0.67466843
417,0.67670035
418,0.6884743
419,0.68343145
420,0.6815528
421,0.68223894
422,0.66946054
423,0.66336703
424,0.6732223
425,0.673545
426,0.6718435
427,0.66542804
428,0.6689871
429,0.67340326
430,0.67045075
431,0.6671572
432,0.6665401
433,0.6672037
434,0.6565104
435,0.6619251
436,0.66585845
437,0.6629167
438,0.65861875
439,0.6560706
440,0.63820314
441,0.64462674
442,0.63978016
443,0.63310206
444,0.6327737
445,0.61410266
446,0.61738974
447,0.62250394
448,0.6393098
449,0.637583
450,0.6442529
451,0.6444038
452,0.6471728
