,0
0,0.6170417
1,0.56718284
2,0.5683442
3,0.56484926
4,0.60053325
5,0.55707765
6,0.62050176
7,0.60046494
8,0.5751852
9,0.56606835
10,0.5958137
11,0.5727779
12,0.5891313
13,0.5384779
14,0.5368959
15,0.56923455
16,0.5520761
17,0.52439076
18,0.52633643
19,0.5612364
20,0.5385673
21,0.56418806
22,0.58619577
23,0.55917823
24,0.53902495
25,0.5452757
26,0.55214906
27,0.4948461
28,0.46585172
29,0.5128286
30,0.54300207
31,0.53070295
32,0.57111293
33,0.53697515
34,0.54501617
35,0.5348288
36,0.5033329
37,0.54259366
38,0.56027514
39,0.5821263
40,0.5523052
41,0.5995385
42,0.6056339
43,0.5777467
44,0.58595526
45,0.60242206
46,0.57139325
47,0.5635561
48,0.5688138
49,0.50092447
50,0.4957559
51,0.49961466
52,0.4768862
53,0.44314137
54,0.43837705
55,0.47589487
56,0.4807931
57,0.46242496
58,0.3999764
59,0.4683691
60,0.48385072
61,0.45808175
62,0.42050576
63,0.4595109
64,0.46405876
65,0.4742229
66,0.45336562
67,0.40723762
68,0.45101112
69,0.5126654
70,0.47902727
71,0.41979387
72,0.44034493
73,0.48952243
74,0.47592974
75,0.4169698
76,0.41745862
77,0.43674845
78,0.5188778
79,0.52193904
80,0.4991411
81,0.5174893
82,0.46134996
83,0.4824748
84,0.5011839
85,0.45780686
86,0.4825327
87,0.46347737
88,0.4587971
89,0.43645963
90,0.4951531
91,0.4565983
92,0.49295947
93,0.5079154
94,0.5250707
95,0.49753386
96,0.5164052
97,0.4958882
98,0.51239145
99,0.5020571
100,0.52812684
101,0.46434113
102,0.5094806
103,0.5040666
104,0.49887863
105,0.48052162
106,0.48946592
107,0.46862802
108,0.49701473
109,0.5439222
110,0.50343955
111,0.48236677
112,0.50388443
113,0.48547485
114,0.50421333
115,0.5059837
116,0.48628908
117,0.47743636
118,0.48401916
119,0.49499202
120,0.4782325
121,0.46604997
122,0.44300812
123,0.4953304
124,0.46002316
125,0.48339733
126,0.4833156
127,0.5181923
128,0.45342255
129,0.48598933
130,0.44947195
131,0.47262514
132,0.43731233
133,0.4801364
134,0.47657195
135,0.46724623
136,0.41094303
137,0.48767415
138,0.3703995
139,0.42787036
140,0.37227467
141,0.42996755
142,0.39615986
143,0.40694264
144,0.38765082
145,0.42513287
146,0.36121264
147,0.41860336
148,0.4454962
149,0.46518144
150,0.41714856
151,0.43586627
152,0.4140704
153,0.45362172
154,0.41965276
155,0.47102246
156,0.50911826
157,0.46020985
158,0.4427498
159,0.45686924
160,0.43501648
161,0.5013777
162,0.47322953
163,0.47365892
164,0.46793318
165,0.43190563
166,0.46101347
167,0.46298662
168,0.46653628
169,0.41974562
170,0.45681715
171,0.42071307
172,0.42848012
173,0.42825046
174,0.41229996
175,0.46208963
176,0.45442456
177,0.45884013
178,0.5074451
179,0.45941594
180,0.4761307
181,0.44069198
182,0.45079595
183,0.436558
184,0.47190827
185,0.43589124
186,0.40714374
187,0.4289459
188,0.46335176
189,0.4064257
190,0.40453762
191,0.40468362
192,0.36709788
193,0.41683558
194,0.4040171
195,0.47382212
196,0.55838424
197,0.5628108
198,0.5422317
199,0.58405524
200,0.6070587
201,0.6056213
202,0.6345287
203,0.6234046
204,0.59601146
205,0.6150883
206,0.6501242
207,0.6388591
208,0.6462584
209,0.6651194
210,0.66996086
211,0.64206266
212,0.6518216
213,0.69601184
214,0.66438556
215,0.6873142
216,0.69189423
217,0.67790276
218,0.70519555
219,0.70193684
220,0.6777711
221,0.6953299
222,0.64100647
223,0.6462003
224,0.65963703
225,0.6574412
226,0.5792624
227,0.6060081
228,0.6509739
229,0.62990016
230,0.6078948
231,0.6001448
232,0.63964206
