,0
0,0.912037
1,0.87616515
2,0.89703673
3,0.89014703
4,0.889497
5,0.9195659
6,0.9366118
7,0.9238331
8,0.9390137
9,0.9280691
10,0.88996625
11,0.9160472
12,0.9139427
13,0.93441755
14,0.899858
15,0.90960246
16,0.9028704
17,0.89946735
18,0.8949434
19,0.8962463
20,0.8851235
21,0.89752465
22,0.84420973
23,0.8609582
24,0.8802999
25,0.9043221
26,0.9157038
27,0.8889227
28,0.9083028
29,0.9270732
30,0.884747
31,0.8896593
32,0.885475
33,0.91457784
34,0.9270076
35,0.9106751
36,0.9372091
37,0.9359455
38,0.8769173
39,0.9018888
40,0.9171712
41,0.92853796
42,0.8775648
43,0.8766075
44,0.92350346
45,0.8972553
46,0.89647365
47,0.8912275
48,0.8781971
49,0.86132747
50,0.8778387
51,0.9021703
52,0.87883633
53,0.9266128
54,0.92495173
55,0.92013234
56,0.90027446
57,0.90242887
58,0.89282084
59,0.8888587
60,0.909742
61,0.901642
62,0.92041904
63,0.9208941
64,0.90436757
65,0.87802196
66,0.881916
67,0.914642
68,0.90744925
69,0.8627238
70,0.9107543
71,0.89318377
72,0.8431292
73,0.90922797
74,0.9318661
75,0.86988163
76,0.9234923
77,0.89607465
78,0.89386475
79,0.91121054
80,0.8592823
81,0.8614688
82,0.85751337
83,0.85642844
84,0.8725845
85,0.8365888
86,0.8128198
87,0.8805751
88,0.8994495
89,0.88741624
90,0.8679227
91,0.9257844
92,0.8884962
93,0.86684704
94,0.9159087
95,0.9026469
96,0.8905658
97,0.8823579
98,0.92507726
99,0.90010417
100,0.9137247
101,0.92780787
102,0.90656245
103,0.89987516
104,0.8465257
105,0.9043165
106,0.8795402
107,0.84836936
108,0.85811436
109,0.86121774
110,0.85276574
111,0.8440454
112,0.85064155
113,0.88158923
114,0.89275473
115,0.85732204
116,0.89813006
117,0.9078318
118,0.8426411
119,0.83901113
120,0.8360082
121,0.8588747
122,0.7894908
123,0.8376689
124,0.86370796
125,0.8177888
126,0.8507456
127,0.88303787
128,0.83403164
129,0.8269162
130,0.90017
131,0.91207814
132,0.8952535
133,0.87309307
134,0.89299595
135,0.8865113
136,0.81121063
137,0.88527495
138,0.9086486
139,0.91832274
140,0.92304575
141,0.9189712
142,0.9169428
143,0.87259835
144,0.85460865
145,0.8598272
146,0.88421
147,0.87574595
148,0.9020476
149,0.8590183
150,0.8897752
151,0.8830842
152,0.8479729
153,0.8552474
154,0.83840483
155,0.7949404
156,0.8147847
157,0.8165971
158,0.83324456
159,0.85373104
160,0.8838107
161,0.86326516
162,0.86974245
163,0.9194538
164,0.9265755
165,0.8765152
166,0.91546524
167,0.92213297
168,0.9211726
169,0.9114947
170,0.8752954
171,0.9096223
172,0.8978187
173,0.8811876
174,0.92678696
175,0.91780925
176,0.91951895
177,0.93931043
178,0.94932
179,0.9452399
180,0.95780075
181,0.9406465
182,0.88085437
183,0.92605054
184,0.8989334
185,0.88252926
186,0.9143836
187,0.91973686
188,0.88200974
189,0.8835577
190,0.9275655
191,0.8727488
192,0.8824815
193,0.9287065
194,0.89926744
195,0.8683464
196,0.8902167
197,0.9049964
198,0.87760764
199,0.8386668
200,0.8952146
201,0.89742416
202,0.87509596
203,0.8921564
204,0.8784464
205,0.89817476
206,0.85628134
207,0.8493742
208,0.8505159
209,0.82771254
210,0.8653267
211,0.8584085
212,0.8499477
213,0.84706354
214,0.8818772
215,0.8441059
216,0.8587265
217,0.83803844
218,0.8518776
219,0.8578707
220,0.82379854
221,0.8588289
222,0.83395934
223,0.75881666
224,0.80201465
225,0.79267097
226,0.7405162
227,0.744686
228,0.80155426
229,0.747981
230,0.71953154
231,0.8148135
232,0.84999925
233,0.7934697
234,0.84647
235,0.8922027
236,0.8358667
237,0.8267033
238,0.832162
239,0.8612017
240,0.84082174
241,0.80480444
242,0.7991615
243,0.7878995
244,0.72813237
245,0.6500224
246,0.7401199
247,0.7153007
248,0.73144245
249,0.8033159
250,0.83369654
251,0.8549181
252,0.7862209
253,0.86488605
254,0.8579554
255,0.8157854
256,0.8322563
257,0.8229156
258,0.831073
259,0.75798595
260,0.7174557
261,0.7147592
262,0.7141686
263,0.7091417
264,0.70580727
265,0.8013057
266,0.7923395
267,0.818741
268,0.76413304
269,0.8213072
270,0.78234404
271,0.8000777
272,0.8471648
273,0.84995276
274,0.81725216
275,0.8595132
276,0.8403918
277,0.7959308
278,0.7816035
279,0.8135601
280,0.7218973
281,0.7259735
282,0.8071519
283,0.808472
284,0.81288326
285,0.7574218
286,0.7995075
287,0.8586825
288,0.8165517
289,0.90023136
290,0.93883055
291,0.8944916
292,0.8723627
293,0.85705703
294,0.79449147
295,0.725855
296,0.78957546
297,0.77836514
298,0.7310916
299,0.7359867
300,0.8450219
301,0.77048033
302,0.74614143
303,0.8657466
304,0.81991154
305,0.8807836
306,0.8661991
307,0.8671567
308,0.854308
309,0.8520198
310,0.8342721
311,0.78004867
312,0.7837564
313,0.7680615
314,0.8481517
315,0.78718597
316,0.7490257
317,0.7275877
318,0.7574496
319,0.68431836
320,0.73085684
321,0.77297133
322,0.8587226
323,0.8984559
324,0.8644616
325,0.8866987
326,0.86906993
327,0.8841461
328,0.88829446
329,0.9304819
330,0.8903361
331,0.9312294
332,0.9141826
333,0.86827815
334,0.87333405
335,0.8948626
336,0.9052593
337,0.90202826
338,0.87726706
339,0.8896728
340,0.83421695
341,0.80512685
342,0.8446967
343,0.8201271
344,0.82672966
345,0.8712776
346,0.85225075
347,0.80573714
348,0.87715644
349,0.9099756
350,0.81421036
351,0.7857436
352,0.8263513
353,0.8582354
354,0.8377704
355,0.8541614
356,0.8973755
357,0.87791973
358,0.88671523
359,0.8119772
360,0.84008384
361,0.8544753
362,0.80521655
363,0.78442264
364,0.8393471
365,0.8560652
366,0.7842835
367,0.7887164
368,0.81091684
369,0.82017535
370,0.8305878
371,0.8362971
372,0.9089557
373,0.8486114
374,0.8090116
375,0.80199826
376,0.8427531
377,0.81229097
378,0.83591247
379,0.8827574
380,0.89292985
381,0.84363246
382,0.90454453
383,0.9028127
384,0.899654
385,0.8889761
386,0.890388
387,0.894321
388,0.91120887
389,0.926766
390,0.8737633
391,0.9154145
392,0.91458637
393,0.8685539
394,0.8872875
395,0.8779348
396,0.8939961
397,0.898181
398,0.8962655
399,0.88201284
400,0.8622297
401,0.8893289
402,0.84454465
403,0.8421541
404,0.89397204
405,0.89847183
406,0.9046359
407,0.90627664
408,0.8728238
409,0.89677244
410,0.8995852
411,0.9226073
412,0.87938744
413,0.9324892
414,0.9138215
415,0.8339898
416,0.8300684
417,0.81982183
418,0.87900126
419,0.8524112
420,0.83936393
421,0.87935424
422,0.8677661
423,0.8532415
424,0.86709034
425,0.88675964
426,0.8076451
427,0.7756573
428,0.8766998
429,0.89507145
430,0.8869671
431,0.8917413
432,0.85966945
433,0.87096506
434,0.8765096
435,0.80083966
436,0.84151495
437,0.88143265
438,0.87478334
439,0.7909884
440,0.8139473
441,0.851261
442,0.8137372
443,0.8362031
444,0.8518373
445,0.87763125
446,0.908656
447,0.8707764
448,0.9252695
449,0.9336849
450,0.8917161
451,0.87876236
452,0.88407296
453,0.9158425
454,0.88874406
455,0.8625707
456,0.8900186
457,0.84971297
458,0.8459507
459,0.8406559
460,0.86600614
461,0.89302284
462,0.87792253
463,0.8687795
464,0.9017377
465,0.790154
466,0.82709235
467,0.82557696
468,0.8508241
469,0.8707218
470,0.8785722
471,0.89816386
472,0.8778109
473,0.8649182
474,0.8186416
475,0.85410744
476,0.82726806
477,0.84149176
478,0.8400032
479,0.83655804
480,0.8317288
481,0.80958736
482,0.8151656
483,0.7769867
484,0.79879457
485,0.87733495
486,0.88828063
487,0.9103879
488,0.88088024
489,0.892007
490,0.85709846
491,0.79287153
492,0.8219973
493,0.8884748
494,0.8263099
495,0.8259415
496,0.8270979
497,0.8543976
498,0.84735674
499,0.7707917
500,0.73774683
501,0.8223482
502,0.7784292
503,0.85633796
504,0.8738921
505,0.8639905
506,0.8276143
507,0.8300789
508,0.8287838
509,0.80491704
510,0.85719943
511,0.8579275
512,0.8666988
513,0.84832263
514,0.8199409
515,0.869558
516,0.86076367
517,0.83995277
518,0.8971993
519,0.87136173
520,0.8920681
521,0.88824326
522,0.8420864
523,0.84648
524,0.8265199
525,0.781131
526,0.7868049
527,0.77459586
528,0.8157759
529,0.83487135
530,0.7952064
531,0.82012904
532,0.84425503
533,0.78915054
534,0.8255414
535,0.8333113
536,0.86957973
537,0.78932834
538,0.698254
539,0.69182837
540,0.799648
541,0.7709703
542,0.8504759
543,0.87888885
544,0.87314606
545,0.8281475
546,0.78440875
547,0.8707744
548,0.82404983
549,0.83150715
550,0.88883775
551,0.86220413
552,0.8422739
553,0.78670967
554,0.7391848
555,0.6111874
556,0.67049706
557,0.71811885
558,0.7702122
559,0.86012954
560,0.8673092
561,0.8589304
562,0.8492856
563,0.704196
564,0.5426603
565,0.6078172
566,0.57132244
567,0.7709368
568,0.7201389
569,0.7549234
570,0.7164739
571,0.48644775
572,0.52132565
573,0.6106807
574,0.6834056
575,0.7160148
576,0.74920297
577,0.78200084
578,0.8098622
579,0.68392235
580,0.577154
581,0.741343
582,0.6622104
583,0.5769339
584,0.52975804
585,0.678002
586,0.66982853
587,0.67072463
588,0.5557292
589,0.70012194
590,0.6803653
591,0.64923257
592,0.72210705
593,0.77200496
594,0.7970272
595,0.6415676
596,0.49499357
597,0.52914536
598,0.3908613
599,0.43798172
600,0.5777783
601,0.7679809
602,0.777176
603,0.66949284
604,0.7466752
605,0.8180041
606,0.8393176
607,0.8310483
608,0.86773026
609,0.83478856
610,0.8034419
611,0.7617868
612,0.6655859
613,0.7468167
614,0.7456299
615,0.7482701
616,0.7114986
617,0.7765439
618,0.74967057
619,0.6517258
620,0.7449612
621,0.6844876
622,0.6885777
623,0.6949169
624,0.8083669
625,0.83180207
626,0.7959135
627,0.8404209
628,0.75919926
629,0.768387
630,0.8091882
631,0.80682486
632,0.85068625
633,0.8694395
634,0.8794799
635,0.90061855
636,0.8812106
637,0.89405936
638,0.850816
639,0.8404192
640,0.8602158
641,0.8316218
642,0.8108062
643,0.84876335
644,0.8047195
645,0.7937744
646,0.7858569
647,0.82633924
648,0.7881213
649,0.8252951
650,0.81170756
651,0.8036545
652,0.713933
653,0.81199783
654,0.78066015
655,0.80170375
656,0.9063375
657,0.92342377
658,0.9026851
659,0.8887529
660,0.8442675
661,0.8836944
662,0.84699404
663,0.8632112
664,0.87802994
665,0.8956257
666,0.9103101
667,0.8704096
668,0.8621947
669,0.8481322
670,0.8541731
671,0.8172788
672,0.8044606
673,0.7675729
674,0.8113559
675,0.8203224
676,0.775657
677,0.8230719
678,0.8546847
679,0.85070556
680,0.8326651
681,0.8747012
682,0.8833322
683,0.85258293
684,0.851239
685,0.8482953
686,0.77339494
687,0.71560663
688,0.79641193
689,0.7799919
690,0.84560925
691,0.82611555
692,0.8353113
693,0.8026509
694,0.753831
695,0.7534454
696,0.7982588
697,0.74094856
698,0.7280962
699,0.7829317
700,0.8010662
701,0.726355
702,0.7428875
703,0.7617591
704,0.808693
705,0.7685444
706,0.73200715
707,0.8602704
708,0.83980995
709,0.66644174
710,0.7400933
711,0.75019664
712,0.78322923
713,0.8424295
714,0.8557515
715,0.8728204
716,0.82139647
717,0.81680864
718,0.8018517
719,0.81060195
720,0.847374
721,0.83151174
722,0.8582703
723,0.8702387
724,0.8538322
725,0.91321474
726,0.83282584
727,0.88751894
728,0.84688026
729,0.8480464
730,0.8743906
731,0.8433472
732,0.8591624
733,0.8583055
734,0.7240887
735,0.7609091
736,0.78636175
737,0.79265434
738,0.7460465
739,0.7995259
740,0.8482941
741,0.7592665
742,0.698805
743,0.7706504
744,0.83725005
745,0.7850861
746,0.8275385
747,0.8560177
748,0.8592264
749,0.8287937
750,0.7713068
751,0.78590435
752,0.8423978
753,0.77396184
754,0.79872084
755,0.806742
756,0.7683548
757,0.6963752
758,0.7393672
759,0.6967022
760,0.7639497
761,0.75984246
762,0.8343416
763,0.8087014
764,0.86316353
765,0.84009176
766,0.81645495
767,0.7453779
768,0.84820145
769,0.695885
770,0.7189202
771,0.8080913
772,0.67587847
773,0.6285181
774,0.5997123
775,0.611746
776,0.61519814
777,0.71805257
778,0.76327384
779,0.6743569
780,0.48023552
781,0.648444
782,0.59420437
783,0.6496429
784,0.7195407
785,0.7773431
786,0.7845819
787,0.73540187
788,0.72611237
789,0.7258149
790,0.7147268
791,0.6367752
792,0.7676722
793,0.86532617
794,0.8596108
795,0.90622056
796,0.9323105
797,0.91508496
798,0.90530807
799,0.9072442
800,0.883541
801,0.90115285
802,0.8533296
803,0.8916352
804,0.87252516
805,0.8724125
806,0.88969445
807,0.9221347
808,0.91465765
809,0.9055662
810,0.920297
811,0.8822134
812,0.90703386
813,0.9326095
814,0.9197123
815,0.8816866
816,0.93469036
817,0.9405789
818,0.92734665
819,0.93439496
820,0.94844025
821,0.95437694
822,0.95297396
823,0.944061
824,0.93959683
825,0.92853147
826,0.88802105
827,0.9104549
828,0.90448266
829,0.8817838
830,0.913223
831,0.9034034
832,0.8962155
833,0.9003975
834,0.92139953
835,0.93994904
836,0.9362271
837,0.9332285
838,0.9436137
839,0.9413226
840,0.9376236
841,0.91209674
842,0.94731206
843,0.92655736
844,0.92508614
845,0.94138855
846,0.94009566
847,0.94407934
848,0.9415767
849,0.94817805
850,0.95755213
851,0.92470115
852,0.92312944
853,0.93473244
854,0.9422355
855,0.889027
856,0.8864138
857,0.9197135
858,0.91973996
859,0.88552713
860,0.8692662
861,0.9335214
862,0.91159916
863,0.93152004
864,0.9504548
865,0.9543117
866,0.93570966
867,0.9340122
868,0.92692536
869,0.92891604
870,0.921772
871,0.94346964
872,0.9567698
873,0.94732636
874,0.96708345
875,0.95944595
876,0.9538676
877,0.9507972
878,0.9360748
879,0.9078453
880,0.93763375
881,0.94809175
882,0.9531018
883,0.9693305
884,0.95320386
885,0.9651369
886,0.9645431
887,0.9675535
888,0.96363056
889,0.960624
890,0.9435414
891,0.9520509
892,0.94740057
893,0.9291257
894,0.95580626
895,0.94614226
896,0.9558041
897,0.9648335
898,0.96067053
899,0.9582692
900,0.92407256
901,0.88162607
902,0.92167217
903,0.8977149
904,0.91016966
905,0.899696
906,0.93618774
907,0.9163609
908,0.9335801
909,0.9191104
910,0.9422856
911,0.93102694
912,0.90588987
913,0.94819504
914,0.9031259
915,0.8683168
916,0.882401
917,0.8565644
918,0.87707734
919,0.8617079
920,0.88281333
921,0.9067067
922,0.90816903
923,0.9084966
924,0.9397866
925,0.9435347
926,0.95132846
927,0.952037
928,0.9039738
929,0.94291073
930,0.9310243
931,0.9244884
932,0.92355347
933,0.9216575
934,0.8727031
935,0.8904834
936,0.91175973
937,0.84890616
938,0.8879648
939,0.9276232
940,0.9179292
941,0.89016247
942,0.9465742
943,0.955008
944,0.92038524
945,0.92662936
946,0.9417829
947,0.94789433
948,0.9030637
949,0.9172674
950,0.93418294
951,0.90541625
952,0.9022972
