,0
0,0.650642
1,0.6506432
2,0.6506443
3,0.65064543
4,0.65064657
5,0.6506477
6,0.6506488
7,0.6506499
8,0.6506511
9,0.6506522
10,0.6506534
11,0.6506544
12,0.65065545
13,0.6506567
14,0.65065783
15,0.65065897
16,0.6506599
17,0.65066105
18,0.6506622
19,0.6506633
20,0.6506644
21,0.6506655
22,0.65066653
23,0.6506676
24,0.65066874
25,0.65066975
26,0.65067095
27,0.65067196
28,0.65067303
29,0.6506741
30,0.65067524
31,0.65067625
32,0.6506773
33,0.6506784
34,0.65067947
35,0.6506806
36,0.6506817
37,0.6506827
38,0.6506838
39,0.65068483
40,0.650686
41,0.650687
42,0.6506878
43,0.650689
44,0.6506901
45,0.65069115
46,0.65069216
47,0.6506932
48,0.65069425
49,0.6506953
50,0.6506963
51,0.6506973
52,0.6506984
53,0.6506994
54,0.6507005
55,0.6507015
56,0.6507025
57,0.6507036
58,0.65070456
59,0.6507057
60,0.65070677
61,0.6507078
62,0.65070885
63,0.65070987
64,0.65071094
65,0.65071195
66,0.650713
67,0.65071404
68,0.65071505
69,0.65071607
70,0.6507171
71,0.6507181
72,0.6507191
73,0.6507202
74,0.65072113
75,0.65072215
76,0.6507232
77,0.6507243
78,0.6507253
79,0.6507263
80,0.65072733
81,0.6507284
82,0.65072936
83,0.65073043
84,0.65073144
85,0.6507325
86,0.65073353
87,0.65073454
88,0.65073556
89,0.65073663
90,0.6507376
91,0.65073866
92,0.6507397
93,0.6507406
94,0.65074176
95,0.65074277
96,0.65074366
97,0.65074474
98,0.6507458
99,0.65074664
100,0.6507478
101,0.6507487
102,0.65074986
103,0.6507507
104,0.6507517
105,0.6507528
106,0.6507539
107,0.65075487
108,0.65075576
109,0.6507569
110,0.6507578
111,0.6507588
112,0.65075976
113,0.6507607
114,0.6507617
115,0.6507627
116,0.65076363
117,0.6507646
118,0.6507655
119,0.65076643
120,0.6507673
121,0.6507682
122,0.65076923
123,0.65077
124,0.6507711
125,0.6507719
126,0.65077287
127,0.6507737
128,0.6507747
129,0.65077555
130,0.65077645
131,0.65077734
132,0.65077823
133,0.6507792
134,0.65077996
135,0.65078086
136,0.6507818
137,0.65078264
138,0.65078366
139,0.6507844
140,0.6507853
141,0.65078616
142,0.650787
143,0.6507879
144,0.6507887
145,0.6507896
146,0.6507904
147,0.65079135
148,0.6507921
149,0.650793
150,0.6507938
151,0.6507946
152,0.6507955
153,0.65079623
154,0.6507972
155,0.650798
156,0.65079886
157,0.6507997
158,0.65080047
159,0.65080136
160,0.65080214
161,0.65080297
162,0.6508038
163,0.6508047
164,0.6508055
165,0.6508063
166,0.65080714
167,0.6508079
168,0.65080875
169,0.6508096
170,0.6508104
171,0.65081125
172,0.65081203
173,0.6508129
174,0.65081376
175,0.6508146
176,0.65081555
177,0.65081626
178,0.6508171
179,0.6508179
180,0.65081865
181,0.6508196
182,0.65082043
183,0.65082127
184,0.65082204
185,0.6508229
186,0.65082365
187,0.6508245
188,0.6508253
189,0.65082616
190,0.65082693
191,0.65082777
192,0.65082854
193,0.6508294
194,0.6508301
195,0.6508309
196,0.65083176
197,0.6508325
198,0.6508333
199,0.6508341
200,0.6508349
201,0.65083563
202,0.6508364
203,0.65083724
204,0.650838
205,0.6508388
206,0.65083957
207,0.6508402
208,0.65084106
209,0.6508418
210,0.65084255
211,0.6508433
212,0.6508441
213,0.6508449
214,0.6508456
215,0.65084636
216,0.650847
217,0.6508478
218,0.65084857
219,0.6508493
220,0.65085
221,0.6508507
222,0.6508515
223,0.6508522
224,0.6508529
225,0.65085375
226,0.65085447
227,0.65085506
228,0.6508558
229,0.65085655
230,0.6508574
231,0.650858
232,0.6508587
233,0.6508594
234,0.6508602
235,0.65086085
236,0.65086156
237,0.6508623
238,0.650863
239,0.65086365
240,0.65086436
241,0.6508652
242,0.6508658
243,0.65086657
244,0.6508673
245,0.650868
246,0.65086865
247,0.6508694
248,0.6508702
249,0.65087074
250,0.6508716
251,0.65087223
252,0.650873
253,0.65087366
254,0.65087426
255,0.650875
256,0.6508757
257,0.65087634
258,0.6508771
259,0.6508777
260,0.6508784
261,0.6508791
262,0.6508798
263,0.6508805
264,0.6508811
265,0.65088177
266,0.6508825
267,0.6508831
268,0.65088373
269,0.65088445
270,0.6508851
271,0.6508859
272,0.6508864
273,0.6508871
274,0.65088785
275,0.6508884
276,0.6508891
277,0.6508899
278,0.6508905
279,0.6508911
280,0.65089184
281,0.6508925
282,0.6508931
283,0.65089387
284,0.65089446
285,0.65089524
286,0.65089583
287,0.65089655
288,0.6508971
289,0.6508978
290,0.65089846
291,0.650899
292,0.65089977
293,0.6509003
294,0.650901
295,0.6509016
296,0.6509023
297,0.65090287
298,0.6509035
299,0.6509042
300,0.65090483
301,0.65090543
302,0.650906
303,0.6509067
304,0.6509074
305,0.650908
306,0.65090865
307,0.65090925
308,0.6509098
309,0.6509105
310,0.65091115
311,0.65091175
312,0.65091234
313,0.6509129
314,0.65091366
315,0.65091425
316,0.6509147
317,0.6509154
