model,P_SUM,U_L1_N,I_SUM,H_TDH_I_L3_N,F,ReacEc_L1,C_phi_L3,ReacEc_L3,RealE_SUM,H_TDH_U_L2_N
LinRegression,0.079265,0.031372,0.065990,0.046060,0.040205,0.000090,0.055232,0.000133,0.000004,0.030794
SimpleLSTM_10_15secs,0.082169,0.057759,0.071507,0.049071,0.040685,0.026302,0.053649,0.064062,0.212368,0.031143
SimpleGRU_10_15secs,0.079773,0.049721,0.071767,0.049153,0.040878,0.012765,0.053661,0.029745,0.232624,0.032727
SimpleLSTM_20_15secs,0.086484,0.052100,0.073630,0.047460,0.040511,0.020637,0.053760,0.052452,0.212594,0.031291
SimpleGRU_20_15secs,0.075620,0.050067,0.070063,0.049064,0.040640,0.007355,0.053538,0.039959,0.217382,0.032436
SimpleLSTM_30_15secs,0.080672,0.044890,0.071573,0.047894,0.040509,0.017271,0.053764,0.048764,0.215369,0.031150
SimpleGRU_30_15secs,0.076689,0.044305,0.072486,0.049041,0.040648,0.013641,0.053760,0.057308,0.218827,0.032097
SimpleLSTM_40_15secs,0.070899,0.044677,0.069757,0.047931,0.040627,0.017335,0.053774,0.045827,0.214930,0.031214
SimpleGRU_40_15secs,0.074308,0.048209,0.074573,0.048130,0.041608,0.011317,0.053936,0.055087,0.219963,0.032086
SimpleLSTM_50_15secs,0.079413,0.046699,0.070367,0.048361,0.040567,0.012255,0.053364,0.061425,0.220114,0.031274
SimpleGRU_50_15secs,0.109329,0.047473,0.072302,0.048627,0.041413,0.023731,0.053634,0.067788,0.219791,0.031274
SimpleLSTM_60_15secs,0.077311,0.044756,0.070230,0.048252,0.040690,0.015891,0.053737,0.050130,0.219544,0.031190
SimpleGRU_60_15secs,0.078159,0.044887,0.070529,0.048404,0.041238,0.015207,0.053892,0.066790,0.219535,0.032309
SimpleLSTM_70_15secs,0.080264,0.043735,0.070270,0.048558,0.041379,0.012702,0.053550,0.053627,0.217243,0.031177
SimpleGRU_70_15secs,0.073539,0.050167,0.070548,0.049912,0.040750,0.018534,0.053714,0.035483,0.223891,0.031141
SimpleLSTM_80_15secs,0.077074,0.042335,0.071052,0.048024,0.041060,0.012988,0.053836,0.051211,0.218065,0.031168
SimpleGRU_80_15secs,0.081038,0.041407,0.071046,0.048312,0.041202,0.012470,0.053907,0.081684,0.223036,0.032170
SimpleLSTM_90_15secs,0.077168,0.047891,0.069153,0.047890,0.041388,0.013144,0.053999,0.046127,0.218269,0.031137
SimpleGRU_90_15secs,0.080263,0.047838,0.072092,0.048249,0.040664,0.013052,0.055642,0.062054,0.222462,0.031183
SimpleLSTM_100_15secs,0.074908,0.047249,0.071163,0.048425,0.041032,0.019330,0.053719,0.049083,0.219560,0.031162
SimpleGRU_100_15secs,0.077742,0.050392,0.072201,0.048465,0.040680,0.014471,0.055666,0.066476,0.221443,0.031138
DropoutLSTM_10_15secs,0.088469,0.039672,0.078174,0.049407,0.040936,0.046722,0.067320,0.120339,0.331221,0.031297
DropoutGRU_10_15secs,0.089349,0.038832,0.078416,0.049057,0.041107,0.037208,0.068189,0.138674,0.334493,0.031206
DropoutLSTM_20_15secs,0.097829,0.042813,0.077235,0.061155,0.041141,0.043016,0.072206,0.158141,0.354033,0.031370
DropoutGRU_20_15secs,0.109771,0.046109,0.071845,0.061197,0.041273,0.043114,0.068803,0.186520,0.362718,0.031626
DropoutLSTM_30_15secs,0.110043,0.042342,0.074822,0.062348,0.041542,0.043773,0.070249,0.200602,0.389649,0.031756
DropoutGRU_30_15secs,0.122711,0.045504,0.073254,0.063928,0.041849,0.045676,0.070835,0.192981,0.338689,0.032158
DropoutLSTM_40_15secs,0.114285,0.051415,0.069744,0.063625,0.041699,0.047701,0.082512,0.202036,0.373652,0.033571
DropoutGRU_40_15secs,0.111258,0.048718,0.072511,0.062817,0.042053,0.046997,0.073519,0.196169,0.352410,0.033356
DropoutLSTM_50_15secs,0.126893,0.059007,0.069165,0.071344,0.042911,0.048145,0.088709,0.203384,0.385956,0.036187
DropoutGRU_50_15secs,0.101272,0.055966,0.070062,0.071270,0.042534,0.047345,0.090312,0.198077,0.378851,0.035924
DropoutLSTM_60_15secs,0.132760,0.066346,0.070717,0.077738,0.043569,0.049156,0.092761,0.204333,0.367652,0.036208
DropoutGRU_60_15secs,0.138460,0.063417,0.071179,0.074384,0.042967,0.047973,0.094258,0.199415,0.359368,0.036989
DropoutLSTM_70_15secs,0.173786,0.071391,0.070319,0.084035,0.045241,0.048615,0.095331,0.205414,0.344974,0.045090
