model,P_SUM,U_L1_N,I_SUM,F,RealE_SUM,C_phi_L3
LSTM10_15secs,0.085,0.026,0.070,0.052,0.217,0.050
LSTM10_30secs,0.093,0.025,0.071,0.051,0.240,0.054
LSTM10_45secs,0.110,0.026,0.070,0.050,0.257,0.065
LSTM10_60secs,0.113,0.028,0.075,0.049,0.276,0.085
LSTM20_15secs,0.086,0.026,0.071,0.052,0.220,0.051
LSTM20_30secs,0.111,0.026,0.070,0.051,0.242,0.054
LSTM20_45secs,0.103,0.025,0.070,0.049,0.254,0.057
LSTM20_60secs,0.121,0.027,0.076,0.049,0.270,0.082
LSTM40_15secs,0.089,0.025,0.071,0.052,0.215,0.051
LSTM40_30secs,0.098,0.026,0.072,0.051,0.248,0.055
LSTM40_45secs,0.098,0.026,0.071,0.049,0.253,0.058
LSTM40_60secs,0.125,0.027,0.081,0.048,0.270,0.085
LSTM60_15secs,0.087,0.026,0.072,0.052,0.223,0.051
LSTM60_30secs,0.095,0.026,0.072,0.051,0.241,0.055
LSTM60_45secs,0.110,0.026,0.077,0.049,0.253,0.057
LSTM60_60secs,0.108,0.028,0.076,0.048,0.265,0.086
LSTM80_15secs,0.088,0.026,0.071,0.052,0.220,0.051
LSTM80_30secs,0.096,0.026,0.076,0.051,0.246,0.055
LSTM80_45secs,0.099,0.028,0.072,0.049,0.253,0.058
LSTM80_60secs,0.109,0.027,0.076,0.049,0.273,0.085
LSTM100_15secs,0.084,0.026,0.072,0.052,0.219,0.052
LSTM100_30secs,0.096,0.026,0.072,0.051,0.248,0.055
LSTM100_45secs,0.117,0.026,0.073,0.049,0.256,0.060
LSTM100_60secs,0.109,0.027,0.078,0.048,0.264,0.086
LSTM10_15secs_dropout10,0.089,0.026,0.073,0.052,0.362,0.072
LSTM10_15secs_dropout20,0.085,0.030,0.074,0.052,0.363,0.071
LSTM10_15secs_dropout30,0.087,0.027,0.074,0.052,0.359,0.069
LSTM10_15secs_dropout40,0.083,0.028,0.067,0.052,0.357,0.068
LSTM10_15secs_dropout50,0.097,0.028,0.068,0.052,0.341,0.070
LSTM10_15secs_dropout60,0.115,0.033,0.069,0.053,0.329,0.072
LSTM10_15secs_dropout70,0.109,0.035,0.071,0.053,0.333,0.076
LSTM10_15secs_dropout80,0.145,0.051,0.080,0.057,0.326,0.077
LSTM10_15secs_dropout90,0.197,0.071,0.093,0.066,0.348,0.084
GRU2_15secs,0.088,0.025,0.071,0.052,0.223,0.051
GRU2_30secs,0.094,0.026,0.072,0.051,0.246,0.072
GRU2_45secs,0.107,0.035,0.074,0.049,0.258,0.089
GRU2_60secs,0.125,0.035,0.076,0.049,0.271,0.095
GRU4_15secs,0.084,0.026,0.068,0.052,0.225,0.053
GRU4_30secs,0.094,0.027,0.073,0.052,0.243,0.060
GRU4_45secs,0.117,0.030,0.072,0.049,0.257,0.086
GRU4_60secs,0.112,0.031,0.076,0.049,0.260,0.091
GRU8_15secs,0.090,0.027,0.069,0.052,0.216,0.054
GRU8_30secs,0.090,0.026,0.075,0.051,0.240,0.058
GRU8_45secs,0.098,0.032,0.076,0.049,0.257,0.076
GRU8_60secs,0.113,0.031,0.077,0.049,0.275,0.086
GRU16_15secs,0.089,0.027,0.069,0.052,0.227,0.053
GRU16_30secs,0.107,0.029,0.072,0.051,0.247,0.057
GRU16_45secs,0.106,0.027,0.078,0.049,0.253,0.067
GRU16_60secs,0.114,0.033,0.081,0.049,0.262,0.081
GRU32_15secs,0.097,0.025,0.069,0.051,0.229,0.056
GRU32_30secs,0.121,0.028,0.072,0.051,0.245,0.057
GRU32_45secs,0.092,0.026,0.079,0.049,0.256,0.059
GRU32_60secs,0.109,0.035,0.081,0.049,0.257,0.081
GRU64_15secs,0.090,0.025,0.071,0.052,0.229,0.056
GRU64_30secs,0.091,0.030,0.073,0.051,0.253,0.058
GRU64_45secs,0.116,0.029,0.078,0.049,0.256,0.058
GRU64_60secs,0.112,0.031,0.085,0.049,0.258,0.061
GRU128_15secs,0.096,0.026,0.071,0.052,0.230,0.059
GRU128_30secs,0.101,0.026,0.074,0.051,0.250,0.058
GRU128_45secs,0.148,0.034,0.074,0.049,0.254,0.058
GRU128_60secs,0.132,0.031,0.079,0.049,0.264,0.060
GRU10_15secs_Dense1,0.083,0.027,0.069,0.052,0.226,0.056
LSTM10_15secs_dense1,0.088,0.026,0.071,0.051,0.224,0.054
GRU10_15secs_Dense3,0.089,0.027,0.071,0.052,0.223,0.053
LSTM10_15secs_dense3,0.084,0.027,0.070,0.052,0.225,0.058
GRU10_15secs_Dense5,0.089,0.025,0.070,0.052,0.233,0.057
LSTM10_15secs_dense5,0.088,0.026,0.071,0.051,0.224,0.058
GRU10_15secs_Dense7,0.087,0.026,0.071,0.052,0.227,0.056
LSTM10_15secs_dense7,0.091,0.025,0.072,0.052,0.227,0.057
GRU10_15secs_Dense9,0.088,0.025,0.072,0.051,0.223,0.054
LSTM10_15secs_dense9,0.089,0.027,0.071,0.052,0.227,0.057
Dense10_GRU10_15secs_,0.096,0.025,0.072,0.051,0.147,0.054
Dense10_LSTM10_15secs,0.085,0.025,0.076,0.052,0.153,0.060
Dense20_GRU10_15secs_,0.090,0.024,0.074,0.051,0.129,0.053
Dense20_LSTM10_15secs,0.088,0.025,0.076,0.052,0.166,0.085
Dense30_GRU10_15secs_,0.098,0.024,0.076,0.052,0.204,0.077
