model,P_SUM,U_L1_N,I_SUM,F,RealE_SUM,C_phi_L3
LinRegression,0.087,0.024,0.066,0.051,0.000,0.042
LSTM10_15secs,0.115,0.025,0.079,0.052,0.227,0.061
GRU10_15secs,0.100,0.026,0.080,0.052,0.230,0.060
LSTM20_15secs,0.100,0.025,0.081,0.052,0.202,0.061
GRU20_15secs,0.102,0.027,0.072,0.052,0.233,0.065
LSTM30_15secs,0.114,0.025,0.079,0.052,0.216,0.061
GRU30_15secs,0.102,0.027,0.073,0.052,0.222,0.064
LSTM40_15secs,0.097,0.025,0.074,0.052,0.188,0.061
GRU40_15secs,0.105,0.028,0.071,0.052,0.206,0.058
LSTM50_15secs,0.100,0.026,0.080,0.052,0.229,0.064
GRU50_15secs,0.126,0.026,0.081,0.052,0.242,0.063
LSTM60_15secs,0.096,0.025,0.081,0.052,0.214,0.062
GRU60_15secs,0.151,0.027,0.074,0.052,0.238,0.065
LSTM70_15secs,0.099,0.026,0.079,0.052,0.230,0.059
GRU70_15secs,0.129,0.026,0.084,0.051,0.233,0.061
LSTM80_15secs,0.107,0.025,0.081,0.052,0.216,0.061
GRU80_15secs,0.151,0.026,0.078,0.051,0.232,0.061
LSTM90_15secs,0.100,0.026,0.084,0.052,0.219,0.056
GRU90_15secs,0.126,0.028,0.078,0.052,0.224,0.058
LSTM100_15secs,0.171,0.025,0.081,0.052,0.219,0.056
GRU100_15secs,0.131,0.027,0.082,0.051,0.220,0.063
LSTM10_15secs_Dropout10,0.106,0.028,0.084,0.052,0.343,0.083
LSTM10_15secs_Dropout10,0.133,0.029,0.079,0.052,0.355,0.092
LSTM10_15secs_Dropout20,0.119,0.035,0.087,0.052,0.377,0.080
LSTM10_15secs_Dropout20,0.097,0.033,0.086,0.052,0.350,0.085
LSTM10_15secs_Dropout30,0.096,0.032,0.094,0.052,0.366,0.080
LSTM10_15secs_Dropout30,0.103,0.032,0.090,0.053,0.369,0.081
LSTM10_15secs_Dropout40,0.114,0.033,0.102,0.052,0.356,0.082
LSTM10_15secs_Dropout40,0.124,0.036,0.093,0.052,0.352,0.082
LSTM10_15secs_Dropout50,0.109,0.036,0.107,0.053,0.347,0.082
LSTM10_15secs_Dropout50,0.109,0.036,0.101,0.053,0.342,0.082
LSTM10_15secs_Dropout60,0.125,0.042,0.104,0.053,0.345,0.082
LSTM10_15secs_Dropout60,0.116,0.040,0.105,0.053,0.340,0.082
LSTM10_15secs_Dropout70,0.148,0.043,0.103,0.054,0.314,0.083
LSTM10_15secs_Dropout70,0.128,0.044,0.103,0.054,0.343,0.084
LSTM10_Dense1_15secs,0.107,0.025,0.075,0.052,0.229,0.066
GRU10_Dense1_15secs,0.107,0.025,0.077,0.052,0.223,0.056
LSTM10_Dense3_15secs,0.117,0.025,0.077,0.052,0.195,0.060
GRU10_Dense3_15secs,0.097,0.028,0.084,0.052,0.199,0.061
LSTM10_Dense5_15secs,0.104,0.025,0.082,0.052,0.239,0.070
GRU10_Dense5_15secs,0.105,0.026,0.075,0.052,0.235,0.066
LSTM10_Dense7_15secs,0.109,0.025,0.074,0.052,0.248,0.066
GRU10_Dense7_15secs,0.106,0.027,0.078,0.052,0.200,0.065
LSTM10_Dense9_15secs,0.117,0.026,0.083,0.052,0.233,0.065
GRU10_Dense9_15secs,0.101,0.028,0.079,0.052,0.220,0.059
Dense10_LSTM10_15secs,0.102,0.025,0.079,0.052,0.161,0.067
Dense10_GRU10_15secs,0.116,0.026,0.082,0.052,0.149,0.074
Dense20_LSTM10_15secs,0.106,0.026,0.077,0.052,0.221,0.065
Dense20_GRU10_15secs,0.165,0.026,0.076,0.052,0.188,0.062
Dense30_LSTM10_15secs,0.145,0.028,0.077,0.052,0.191,0.077
Dense30_GRU10_15secs,0.216,0.027,0.074,0.052,0.211,0.068
Dense40_LSTM10_15secs,0.155,0.028,0.082,0.052,0.215,0.082
Dense40_GRU10_15secs,0.227,0.034,0.075,0.052,0.218,0.073
Dense50_LSTM10_15secs,0.174,0.031,0.075,0.052,0.234,0.081
Dense50_GRU10_15secs,0.450,0.028,0.081,0.052,0.236,0.073
LSTM10_2Stacks_15secs,0.143,0.027,0.086,0.052,0.228,0.084
GRU10_2Stacks_15secs,0.141,0.032,0.083,0.052,0.232,0.088
LSTM10_3Stacks_15secs,0.121,0.029,0.092,0.052,0.244,0.093
GRU10_3Stacks_15secs,0.130,0.033,0.090,0.052,0.243,0.093
LSTM10_4Stacks_15secs,0.117,0.032,0.111,0.052,0.255,0.094
GRU10_4Stacks_15secs,0.311,0.028,0.089,0.052,0.255,0.093
LSTM10_5Stacks_15secs,0.127,0.031,0.191,0.053,0.273,0.094
GRU10_5Stacks_15secs,0.185,0.029,0.111,0.053,0.260,0.095
LSTM10_1ConvStacks_15secs,0.092,0.025,0.077,0.052,0.186,0.068
GRU10_1ConvStacks_15secs,0.102,0.025,0.078,0.052,0.196,0.062
LSTM10_2ConvStacks_15secs,0.096,0.026,0.077,0.052,0.193,0.083
GRU10_2ConvStacks_15secs,0.095,0.026,0.090,0.051,0.223,0.077
LSTM10_3ConvStacks_15secs,0.096,0.027,0.082,0.052,0.200,0.091
GRU10_3ConvStacks_15secs,0.096,0.027,0.087,0.052,0.210,0.082
LSTM10_4ConvStacks_15secs,0.109,0.027,0.098,0.052,0.183,0.086
GRU10_4ConvStacks_15secs,0.108,0.026,0.093,0.052,0.211,0.093
LSTM10_5ConvStacks_15secs,0.097,0.027,0.093,0.052,0.210,0.090
GRU10_5ConvStacks_15secs,0.097,0.026,0.090,0.052,0.192,0.092
XGBoost_200,0.085,0.027,0.075,0.055,0.204,0.097
XGBoost_400,0.085,0.028,0.076,0.057,0.204,0.097
XGBoost_600,0.086,0.028,0.076,0.057,0.204,0.097
XGBoost_800,0.086,0.028,0.076,0.057,0.204,0.097
XGBoost_1000,0.086,0.028,0.076,0.058,0.204,0.097
