model,P_SUM,U_L1_N,I_SUM,H_TDH_I_L3_N,F,ReacEc_L1,C_phi_L3,ReacEc_L3,RealE_SUM,H_TDH_U_L2_N
LinRegression,0.035,0.047,0.080,0.060,0.054,0.016,0.075,0.001,0.000,0.041
LSTM10_15secs,0.027,0.060,0.082,0.080,0.054,0.080,0.086,0.115,0.056,0.047
GRU10_15secs,0.038,0.049,0.082,0.096,0.055,0.188,0.084,0.359,0.056,0.049
LSTM20_15secs,0.025,0.057,0.082,0.075,0.054,0.110,0.082,0.129,0.058,0.048
GRU20_15secs,0.038,0.052,0.082,0.077,0.055,0.127,0.083,0.130,0.064,0.051
LSTM30_15secs,0.033,0.057,0.083,0.070,0.054,0.082,0.083,0.059,0.058,0.049
GRU30_15secs,0.027,0.053,0.082,0.071,0.054,0.099,0.082,0.301,0.061,0.050
LSTM40_15secs,0.025,0.058,0.082,0.070,0.054,0.133,0.081,0.124,0.056,0.048
GRU40_15secs,0.059,0.051,0.084,0.074,0.054,0.105,0.079,0.044,0.057,0.050
LSTM50_15secs,0.030,0.057,0.083,0.073,0.054,0.059,0.080,0.109,0.060,0.049
GRU50_15secs,0.058,0.051,0.083,0.076,0.054,0.084,0.080,0.383,0.059,0.051
LSTM60_15secs,0.027,0.055,0.083,0.072,0.055,0.066,0.082,0.028,0.060,0.046
GRU60_15secs,0.049,0.061,0.083,0.073,0.054,0.099,0.079,0.384,0.058,0.048
LSTM70_15secs,0.024,0.058,0.082,0.072,0.054,0.092,0.082,0.149,0.061,0.046
GRU70_15secs,0.045,0.057,0.083,0.074,0.054,0.079,0.079,0.169,0.059,0.048
LSTM80_15secs,0.026,0.062,0.083,0.071,0.054,0.098,0.082,0.169,0.057,0.046
GRU80_15secs,0.040,0.047,0.083,0.072,0.054,0.068,0.079,0.100,0.063,0.049
LSTM90_15secs,0.026,0.062,0.082,0.073,0.054,0.148,0.080,0.105,0.066,0.047
GRU90_15secs,0.042,0.049,0.084,0.073,0.054,0.115,0.079,0.287,0.061,0.045
LSTM100_15secs,0.031,0.057,0.083,0.074,0.054,0.162,0.081,0.153,0.061,0.047
GRU100_15secs,0.055,0.050,0.083,0.073,0.054,0.107,0.081,0.177,0.061,0.045
LSTM10_15secs_Dropout10,0.043,0.063,0.084,0.078,0.054,0.271,0.120,0.786,0.133,0.049
GRU10_15secs_Dropout10,0.050,0.061,0.083,0.136,0.054,0.280,0.123,0.762,0.129,0.045
LSTM10_15secs_Dropout20,0.047,0.079,0.084,0.115,0.054,0.284,0.122,0.870,0.118,0.055
GRU10_15secs_Dropout20,0.065,0.068,0.084,0.131,0.055,0.287,0.117,0.858,0.131,0.043
LSTM10_15secs_Dropout30,0.102,0.084,0.094,0.116,0.055,0.298,0.112,0.886,0.124,0.068
GRU10_15secs_Dropout30,0.076,0.064,0.083,0.141,0.055,0.285,0.109,0.884,0.217,0.044
LSTM10_15secs_Dropout40,0.108,0.086,0.099,0.125,0.055,0.287,0.113,0.883,0.221,0.163
