model,P_SUM,U_L1_N,I_SUM,H_TDH_I_L3_N,F,ReacEc_L1,C_phi_L3,ReacEc_L3,RealE_SUM,H_TDH_U_L2_N
LinRegression,0.029303,0.029824,0.069535,0.048824,0.047726,0.006871,0.064599,0.000233,0.000045,0.046561
SimpleLSTM_10_15secs,0.023923,0.050506,0.071055,0.065036,0.048483,0.089696,0.078566,0.106739,0.055795,0.050983
SimpleGRU_10_15secs,0.039842,0.048788,0.070606,0.068635,0.048383,0.117442,0.068479,0.080974,0.049746,0.054875
SimpleLSTM_20_15secs,0.033026,0.059947,0.070770,0.066666,0.048670,0.149928,0.079935,0.092640,0.058292,0.051728
SimpleGRU_20_15secs,0.030678,0.045274,0.070970,0.070636,0.048298,0.109025,0.068708,0.273105,0.048705,0.053314
SimpleLSTM_30_15secs,0.023451,0.062849,0.070963,0.061056,0.048408,0.090405,0.075678,0.247439,0.053004,0.050966
SimpleGRU_30_15secs,0.034620,0.047284,0.071035,0.064607,0.048294,0.114047,0.068838,0.459846,0.053399,0.045923
SimpleLSTM_40_15secs,0.023448,0.062321,0.071094,0.064823,0.048332,0.128232,0.074289,0.080750,0.051269,0.052326
SimpleGRU_40_15secs,0.047818,0.056730,0.071351,0.064094,0.048031,0.109160,0.069542,0.176462,0.045226,0.047024
SimpleLSTM_50_15secs,0.028197,0.056756,0.071300,0.066230,0.048211,0.143653,0.075821,0.116075,0.052528,0.051238
SimpleGRU_50_15secs,0.045796,0.053989,0.071054,0.065703,0.048075,0.161768,0.069683,0.355568,0.052794,0.047819
SimpleLSTM_60_15secs,0.028064,0.039010,0.071338,0.065321,0.048055,0.076679,0.074489,0.180733,0.052165,0.052282
SimpleGRU_60_15secs,0.042079,0.052705,0.071351,0.065922,0.048174,0.120015,0.069100,0.279832,0.049338,0.051363
SimpleLSTM_70_15secs,0.034216,0.039764,0.071217,0.063931,0.048026,0.124227,0.069050,0.179830,0.052731,0.052659
SimpleGRU_70_15secs,0.062491,0.057029,0.071706,0.064365,0.048058,0.130154,0.068677,0.102145,0.049792,0.045845
SimpleLSTM_80_15secs,0.036339,0.050961,0.071148,0.067140,0.048110,0.140112,0.074875,0.150736,0.053466,0.054021
SimpleGRU_80_15secs,0.044130,0.058991,0.071940,0.091296,0.048054,0.117164,0.068388,0.392513,0.052674,0.051203
SimpleLSTM_90_15secs,0.028791,0.041831,0.071248,0.066597,0.047936,0.145885,0.070234,0.186358,0.051900,0.051721
SimpleGRU_90_15secs,0.053719,0.061351,0.070883,0.064697,0.048071,0.132454,0.070741,0.267973,0.052516,0.048762
SimpleLSTM_100_15secs,0.029412,0.041482,0.071345,0.070379,0.047848,0.114846,0.069649,0.176277,0.051276,0.052982
SimpleGRU_100_15secs,0.040323,0.056332,0.071853,0.065955,0.048034,0.106543,0.069972,0.294157,0.051818,0.045190
DropoutLSTM_10_15secs,0.067743,0.074545,0.072828,0.128742,0.048769,0.294840,0.113179,0.818649,0.141851,0.050899
DropoutGRU_10_15secs,0.032470,0.067118,0.074040,0.154294,0.049420,0.277328,0.107464,0.817741,0.177374,0.045907
DropoutLSTM_20_15secs,0.044630,0.066004,0.073641,0.141085,0.048563,0.310776,0.103229,0.881601,0.131384,0.051560
DropoutGRU_20_15secs,0.037408,0.060768,0.074851,0.122585,0.049109,0.287696,0.100072,0.870275,0.098399,0.062571
DropoutLSTM_30_15secs,0.098548,0.087700,0.085265,0.145629,0.049144,0.314904,0.104422,0.885241,0.162796,0.055429
DropoutGRU_30_15secs,0.072938,0.065059,0.075737,0.137671,0.048997,0.296979,0.110041,0.879884,0.188217,0.065679
DropoutLSTM_40_15secs,0.107216,0.069133,0.092196,0.155262,0.049670,0.312689,0.111463,0.882017,0.129271,0.094299
DropoutGRU_40_15secs,0.106677,0.072639,0.076306,0.138552,0.049630,0.284156,0.109581,0.882773,0.174083,0.080943
DropoutLSTM_50_15secs,0.115339,0.071542,0.100971,0.154438,0.050677,0.310699,0.111601,0.879020,0.177197,0.143934
DropoutGRU_50_15secs,0.097844,0.068291,0.092889,0.143702,0.050184,0.304073,0.110178,0.879849,0.219114,0.088979
DropoutLSTM_60_15secs,0.175123,0.074323,0.108028,0.145891,0.051193,0.312903,0.112386,0.876593,0.276246,0.184189
DropoutGRU_60_15secs,0.146399,0.074604,0.100785,0.155529,0.051312,0.307465,0.111256,0.876656,0.245814,0.181746
DropoutLSTM_70_15secs,0.176772,0.079997,0.119368,0.151503,0.052555,0.319534,0.113718,0.873817,0.313997,0.213218
DropoutGRU_70_15secs,0.200676,0.084537,0.105081,0.131113,0.053286,0.307031,0.112736,0.873409,0.300578,0.188144
LSTMDense_1_15secs,0.021529,0.052112,0.071118,0.066389,0.048490,0.166251,0.077846,0.053172,0.053551,0.052499
GRUDense_1_15secs,0.026338,0.051313,0.070384,0.068401,0.048411,0.133982,0.069431,0.139779,0.049361,0.056522
LSTMDense_3_15secs,0.023287,0.044737,0.071423,0.064996,0.048542,0.166403,0.075485,0.169880,0.054219,0.051204
GRUDense_3_15secs,0.026672,0.042525,0.070493,0.095999,0.048713,0.158953,0.081164,0.082169,0.055091,0.047739
LSTMDense_5_15secs,0.025691,0.047489,0.071103,0.073213,0.048679,0.225729,0.088341,0.159753,0.054869,0.052965
GRUDense_5_15secs,0.056584,0.041307,0.070817,0.085270,0.048758,0.165221,0.076409,0.302871,0.055427,0.053984
LSTMDense_7_15secs,0.028990,0.044598,0.071202,0.069261,0.048528,0.172041,0.076327,0.457755,0.053735,0.053255
GRUDense_7_15secs,0.043846,0.058437,0.071904,0.069212,0.048420,0.167640,0.077071,0.409684,0.054468,0.053968
LSTMDense_9_15secs,0.026289,0.067302,0.071772,0.071244,0.048505,0.177431,0.075785,0.286755,0.057350,0.052289
GRUDense_9_15secs,0.030026,0.032916,0.070921,0.065524,0.048373,0.207932,0.083015,0.607460,0.058014,0.055733
DenseLSTM_10_15secs,0.023667,0.042612,0.071351,0.075782,0.048773,0.199586,0.087076,0.306671,0.010416,0.048539
DenseGRU_10_15secs,0.034476,0.054342,0.071286,0.113668,0.048645,0.171621,0.087551,0.227692,0.022004,0.048786
DenseLSTM_20_15secs,0.021427,0.048934,0.072508,0.095478,0.048506,0.177520,0.093395,0.364739,0.010480,0.049325
DenseGRU_20_15secs,0.034304,0.067493,0.073103,0.077335,0.048771,0.149263,0.098993,0.282038,0.022341,0.051390
DenseLSTM_30_15secs,0.023718,0.052809,0.073521,0.073604,0.048905,0.203163,0.094298,0.444216,0.022126,0.047264
DenseGRU_30_15secs,0.024129,0.069397,0.072530,0.109056,0.048538,0.205765,0.107055,0.341659,0.032389,0.047833
DenseLSTM_40_15secs,0.042594,0.055568,0.073332,0.085220,0.048613,0.204618,0.114341,0.483969,0.043317,0.044850
DenseGRU_40_15secs,0.025855,0.056870,0.075116,0.116163,0.048732,0.247450,0.112662,0.492886,0.035845,0.047262
DenseLSTM_50_15secs,0.052523,0.052834,0.074582,0.109780,0.048706,0.198505,0.109547,0.698813,0.123203,0.046076
DenseGRU_50_15secs,0.034187,0.049862,0.075450,0.115343,0.048645,0.221418,0.114302,0.484376,0.025768,0.060846
StackedLSTM_2_15secs,0.026580,0.064010,0.073348,0.095124,0.048879,0.241891,0.110749,0.692902,0.033872,0.048907
StackedGRU_2_15secs,0.032011,0.076431,0.074868,0.086763,0.048632,0.255812,0.116471,0.729010,0.023717,0.056743
StackedLSTM_3_15secs,0.045209,0.076840,0.072278,0.112840,0.048722,0.294759,0.126488,0.817363,0.046377,0.047768
StackedGRU_3_15secs,0.030330,0.067927,0.073329,0.105068,0.048696,0.289608,0.123511,0.838423,0.043002,0.050788
